Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm
Permuted,16S_meanShift2_permuteTRUE_seed1,1,1,CLR-LASSO,0.5,0,0,0.9109999999999996,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,1,1,Coda-LASSO,0.6004,2,1,105.242,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,1,2,DCV-ridgeRegression,0.564,24,38,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,1,2,DCV-ridgeEnsemble,0.5664,24,38,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,1,2,DCV-rfRFE,0.5684,16,20,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,1,2,CLR-LASSO,0.4932,11,11,0.3849999999999909,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,1,2,Coda-LASSO,0.588,2,1,54.735000000000014,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,1,2,DCV-ridgeRegression,0.6072,93,396,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,1,2,DCV-ridgeEnsemble,0.4108,93,396,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,1,2,DCV-rfRFE,0.4092,88,273,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,2,1,CLR-LASSO,0.5,0,0,0.45499999999992724,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,2,1,Coda-LASSO,0.5128,2,1,42.902000000000044,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,2,2,DCV-ridgeRegression,0.5624,93,432,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,2,2,DCV-ridgeEnsemble,0.44880000000000003,93,432,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,2,2,DCV-rfRFE,0.4512,84,197,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,2,2,CLR-LASSO,0.5508,1,1,0.8700000000003456,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,2,2,Coda-LASSO,0.5792,2,1,42.028999999999996,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,2,2,DCV-ridgeRegression,0.4904,47,117,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,2,2,DCV-ridgeEnsemble,0.4924,47,117,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,2,2,DCV-rfRFE,0.4804,31,35,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,3,1,CLR-LASSO,0.5,0,0,0.8479999999999563,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,3,1,Coda-LASSO,0.5599999999999999,2,1,70.86799999999994,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,3,2,DCV-ridgeRegression,0.5868,70,397,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,3,2,DCV-ridgeEnsemble,0.5976,70,397,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,3,2,DCV-rfRFE,0.582,57,119,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,3,2,CLR-LASSO,0.5,0,0,0.61200000000008,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,3,2,Coda-LASSO,0.546,2,1,67.71500000000015,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,3,2,DCV-ridgeRegression,0.532,93,399,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,3,2,DCV-ridgeEnsemble,0.4844,93,399,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,3,2,DCV-rfRFE,0.4832,71,151,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,4,1,CLR-LASSO,0.5,0,0,0.9909999999999854,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,4,1,Coda-LASSO,0.5364,2,1,57.76800000000003,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,4,2,DCV-ridgeRegression,0.5972,24,76,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,4,2,DCV-ridgeEnsemble,0.5944,24,76,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,4,2,DCV-rfRFE,0.6056,20,23,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,4,2,CLR-LASSO,0.524,3,3,0.6370000000006257,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,4,2,Coda-LASSO,0.4684,2,1,23.07799999999952,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,4,2,DCV-ridgeRegression,0.48160000000000003,93,234,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,4,2,DCV-ridgeEnsemble,0.5384,93,234,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,4,2,DCV-rfRFE,0.5356,58,88,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,5,1,CLR-LASSO,0.5176,6,6,0.6300000000001091,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,5,1,Coda-LASSO,0.4852,2,1,59.702000000000226,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,5,2,DCV-ridgeRegression,0.5892,70,314,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,5,2,DCV-ridgeEnsemble,0.5968,70,314,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,5,2,DCV-rfRFE,0.5916,50,94,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,5,2,CLR-LASSO,0.5068,7,7,0.6150000000006912,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,5,2,Coda-LASSO,0.5584,3,1,33.18499999999949,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,5,2,DCV-ridgeRegression,0.526,70,366,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,5,2,DCV-ridgeEnsemble,0.4772,70,366,NA,124,TRUE,2
Permuted,16S_meanShift2_permuteTRUE_seed1,5,2,DCV-rfRFE,0.494,58,110,NA,124,TRUE,2
