Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm
Empirical,16S_meanShift5_permuteFALSE_seed1,1,1,CLR-LASSO,0.544,1,1,1.841000000000001,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,1,1,Coda-LASSO,0.514,3,1,48.94200000000001,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,1,2,DCV-ridgeRegression,0.998,47,398,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,1,2,DCV-ridgeEnsemble,0.9992,47,398,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,1,2,DCV-rfRFE,0.9992,47,398,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,1,2,CLR-LASSO,0.4736,2,2,1.0480000000000018,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,1,2,Coda-LASSO,0.5088,4,1,36.944000000000074,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,1,2,DCV-ridgeRegression,1,47,313,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,1,2,DCV-ridgeEnsemble,1,47,313,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,1,2,DCV-rfRFE,1,46,289,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,2,1,CLR-LASSO,0.64,1,1,0.6589999999998781,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,2,1,Coda-LASSO,0.4896,2,1,35.858999999999924,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,2,2,DCV-ridgeRegression,0.9992,47,271,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,2,2,DCV-ridgeEnsemble,0.9996,47,271,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,2,2,DCV-rfRFE,0.9996,47,271,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,2,2,CLR-LASSO,0.5544,3,3,0.9279999999998836,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,2,2,Coda-LASSO,0.5792,2,1,34.24400000000014,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,2,2,DCV-ridgeRegression,1,47,255,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,2,2,DCV-ridgeEnsemble,1,47,255,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,2,2,DCV-rfRFE,1,47,255,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,3,1,CLR-LASSO,0.5,0,0,1.149000000000342,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,3,1,Coda-LASSO,0.5044,2,1,82.39800000000014,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,3,2,DCV-ridgeRegression,0.9996,47,246,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,3,2,DCV-ridgeEnsemble,0.9996,47,246,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,3,2,DCV-rfRFE,0.9996,47,246,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,3,2,CLR-LASSO,0.6396,2,2,0.8390000000003965,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,3,2,Coda-LASSO,0.6052,3,1,33.128999999999905,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,3,2,DCV-ridgeRegression,1,93,751,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,3,2,DCV-ridgeEnsemble,1,93,751,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,3,2,DCV-rfRFE,1,93,751,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,4,1,CLR-LASSO,0.5,0,0,0.7799999999997453,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,4,1,Coda-LASSO,0.4884,2,1,56.33699999999999,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,4,2,DCV-ridgeRegression,0.9996,70,529,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,4,2,DCV-ridgeEnsemble,1,70,529,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,4,2,DCV-rfRFE,1,70,529,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,4,2,CLR-LASSO,0.5,0,0,0.7749999999996362,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,4,2,Coda-LASSO,0.5208,2,1,36.751000000000204,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,4,2,DCV-ridgeRegression,1,47,311,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,4,2,DCV-ridgeEnsemble,1,47,311,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,4,2,DCV-rfRFE,1,47,311,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,5,1,CLR-LASSO,0.5,0,0,0.6589999999996508,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,5,1,Coda-LASSO,0.516,2,1,51.10099999999966,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,5,2,DCV-ridgeRegression,1,93,791,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,5,2,DCV-ridgeEnsemble,1,93,791,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,5,2,DCV-rfRFE,1,93,791,NA,124,FALSE,5
Empirical,16S_meanShift5_permuteFALSE_seed1,5,2,CLR-LASSO,0.5,0,0,0.876999999999498,124,FALSE,5
