Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_FengQ-2015_crc_seed8,8,1,SELBAL,0.6644927536231884,8,1,412.57,278
Empirical,cmg_FengQ-2015_crc_seed8,8,1,CLR-LASSO,0.9521739130434783,27,27,0.42399999999997817,278
Empirical,cmg_FengQ-2015_crc_seed8,8,1,Coda-LASSO,0.8963768115942029,267,1,38.764999999999986,278
Empirical,cmg_FengQ-2015_crc_seed8,8,2,DCV-ridgeRegression,0.9202898550724637,208,8421,2062.3250000000003,278
Empirical,cmg_FengQ-2015_crc_seed8,8,2,DCV-ridgeEnsemble,0.9304347826086956,208,8421,2062.3250000000003,278
Empirical,cmg_FengQ-2015_crc_seed8,8,2,SELBAL,0.6402524544179523,4,1,212.80000000000018,259
Empirical,cmg_FengQ-2015_crc_seed8,8,2,CLR-LASSO,0.8036465638148668,22,22,0.2529999999997017,259
Empirical,cmg_FengQ-2015_crc_seed8,8,2,Coda-LASSO,0.8260869565217391,201,1,31.04399999999987,259
Empirical,cmg_FengQ-2015_crc_seed8,8,2,DCV-ridgeRegression,0.8499298737727911,194,7032,1183.9780000000005,259
Empirical,cmg_FengQ-2015_crc_seed8,8,2,DCV-ridgeEnsemble,0.8653576437587658,194,7032,1183.9780000000005,259
