Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_QinN-2014_cirr_seed10,10,1,SELBAL,0.8527164685908319,18,1,194.192,208
Empirical,cmg_QinN-2014_cirr_seed10,10,1,CLR-LASSO,0.9173740803621958,41,41,0.4939999999999998,208
Empirical,cmg_QinN-2014_cirr_seed10,10,1,Coda-LASSO,0.9306734578381437,46,1,126.356,208
Empirical,cmg_QinN-2014_cirr_seed10,10,2,DCV-ridgeRegression,0.9533106960950763,156,5421,1554.4650000000001,208
Empirical,cmg_QinN-2014_cirr_seed10,10,2,DCV-ridgeEnsemble,0.9507640067911715,156,5421,1554.4650000000001,208
Empirical,cmg_QinN-2014_cirr_seed10,10,2,SELBAL,0.8700028760425653,14,1,198.606,229
Empirical,cmg_QinN-2014_cirr_seed10,10,2,CLR-LASSO,0.9350014380212827,26,26,0.36500000000023647,229
Empirical,cmg_QinN-2014_cirr_seed10,10,2,Coda-LASSO,0.9168823698590739,42,1,134.68100000000004,229
Empirical,cmg_QinN-2014_cirr_seed10,10,2,DCV-ridgeRegression,0.9295369571469657,172,6167,1073.2160000000003,229
Empirical,cmg_QinN-2014_cirr_seed10,10,2,DCV-ridgeEnsemble,0.9321253954558527,172,6167,1073.2160000000003,229
