Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_RubelMA-2020_STH_seed11,11,1,SELBAL,0.7023809523809524,21,1,92.34899999999999,131
Empirical,cmg_RubelMA-2020_STH_seed11,11,1,CLR-LASSO,0.832766439909297,18,18,0.42900000000000205,131
Empirical,cmg_RubelMA-2020_STH_seed11,11,1,Coda-LASSO,0.840702947845805,36,1,94.31800000000001,131
Empirical,cmg_RubelMA-2020_STH_seed11,11,2,DCV-ridgeRegression,0.8435374149659864,98,1837,681.039,131
Empirical,cmg_RubelMA-2020_STH_seed11,11,2,DCV-ridgeEnsemble,0.8520408163265306,98,1837,681.039,131
Empirical,cmg_RubelMA-2020_STH_seed11,11,2,SELBAL,0.7822299651567944,9,1,67.62900000000002,133
Empirical,cmg_RubelMA-2020_STH_seed11,11,2,CLR-LASSO,0.8646922183507549,16,16,0.29300000000000637,133
Empirical,cmg_RubelMA-2020_STH_seed11,11,2,Coda-LASSO,0.8681765389082462,25,1,72.24000000000001,133
Empirical,cmg_RubelMA-2020_STH_seed11,11,2,DCV-ridgeRegression,0.8588850174216028,26,168,582.473,133
Empirical,cmg_RubelMA-2020_STH_seed11,11,2,DCV-ridgeEnsemble,0.8437862950058073,26,168,582.473,133
