Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_YuJ_2015_crc_seed8,8,1,SELBAL,0.5249480249480251,11,1,145.816,234
Empirical,cmg_YuJ_2015_crc_seed8,8,1,CLR-LASSO,0.7349272349272349,17,17,0.2609999999999957,234
Empirical,cmg_YuJ_2015_crc_seed8,8,1,Coda-LASSO,0.7733887733887734,50,1,38.68899999999999,234
Empirical,cmg_YuJ_2015_crc_seed8,8,2,DCV-ridgeRegression,0.7588357588357588,132,3468,815.5270000000002,234
Empirical,cmg_YuJ_2015_crc_seed8,8,2,DCV-ridgeEnsemble,0.7817047817047817,132,3468,815.5270000000002,234
Empirical,cmg_YuJ_2015_crc_seed8,8,2,SELBAL,0.7651072124756335,5,1,119.72500000000002,244
Empirical,cmg_YuJ_2015_crc_seed8,8,2,CLR-LASSO,0.5,0,0,0.20699999999987995,244
Empirical,cmg_YuJ_2015_crc_seed8,8,2,Coda-LASSO,0.7685185185185185,207,1,31.866999999999962,244
Empirical,cmg_YuJ_2015_crc_seed8,8,2,DCV-ridgeRegression,0.8674463937621832,183,6435,1256.0819999999999,244
Empirical,cmg_YuJ_2015_crc_seed8,8,2,DCV-ridgeEnsemble,0.8664717348927875,183,6435,1256.0819999999999,244
