Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_ZVogtmannE_2016_crc_seed10,10,1,SELBAL,0.6884615384615385,12,1,220.87500000000003,254
Empirical,cmg_ZVogtmannE_2016_crc_seed10,10,1,CLR-LASSO,0.6030769230769231,3,3,0.4159999999999968,254
Empirical,cmg_ZVogtmannE_2016_crc_seed10,10,1,Coda-LASSO,0.606923076923077,188,1,40.72599999999997,254
Empirical,cmg_ZVogtmannE_2016_crc_seed10,10,2,DCV-ridgeRegression,0.5876923076923077,48,536,1485.2440000000001,254
Empirical,cmg_ZVogtmannE_2016_crc_seed10,10,2,DCV-ridgeEnsemble,0.5953846153846154,48,536,1485.2440000000001,254
Empirical,cmg_ZVogtmannE_2016_crc_seed10,10,2,SELBAL,0.6153846153846154,7,1,175.8309999999999,247
Empirical,cmg_ZVogtmannE_2016_crc_seed10,10,2,CLR-LASSO,0.5,0,0,0.2749999999998636,247
Empirical,cmg_ZVogtmannE_2016_crc_seed10,10,2,Coda-LASSO,0.6242603550295859,231,1,27.64799999999991,247
Empirical,cmg_ZVogtmannE_2016_crc_seed10,10,2,DCV-ridgeRegression,0.6760355029585798,93,1878,1388.8349999999998,247
Empirical,cmg_ZVogtmannE_2016_crc_seed10,10,2,DCV-ridgeEnsemble,0.6715976331360947,93,1878,1388.8349999999998,247
