Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_ZellerG_2014_crc_seed1,1,1,SELBAL,0.7147435897435898,8,1,297.066,265
Empirical,cmg_ZellerG_2014_crc_seed1,1,1,CLR-LASSO,0.7205128205128205,22,22,0.41800000000000637,265
Empirical,cmg_ZellerG_2014_crc_seed1,1,1,Coda-LASSO,0.7064102564102563,223,1,23.303999999999974,265
Empirical,cmg_ZellerG_2014_crc_seed1,1,2,DCV-ridgeRegression,0.7448717948717949,50,549,1581.1219999999998,265
Empirical,cmg_ZellerG_2014_crc_seed1,1,2,DCV-ridgeEnsemble,0.767948717948718,50,549,1581.1219999999998,265
Empirical,cmg_ZellerG_2014_crc_seed1,1,2,SELBAL,0.6743589743589744,11,1,320.52700000000004,269
Empirical,cmg_ZellerG_2014_crc_seed1,1,2,CLR-LASSO,0.7974358974358975,9,9,0.34300000000030195,269
Empirical,cmg_ZellerG_2014_crc_seed1,1,2,Coda-LASSO,0.7371794871794872,203,1,73.07400000000007,269
Empirical,cmg_ZellerG_2014_crc_seed1,1,2,DCV-ridgeRegression,0.8166666666666667,152,4642,1826.089,269
Empirical,cmg_ZellerG_2014_crc_seed1,1,2,DCV-ridgeEnsemble,0.7974358974358975,152,4642,1826.089,269
