Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_ZhuF-2020_schizo_seed8,8,1,SELBAL,0.7316666666666667,17,1,235.229,192
Empirical,cmg_ZhuF-2020_schizo_seed8,8,1,CLR-LASSO,0.755,14,14,0.6370000000000005,192
Empirical,cmg_ZhuF-2020_schizo_seed8,8,1,Coda-LASSO,0.6783333333333333,70,1,192.043,192
Empirical,cmg_ZhuF-2020_schizo_seed8,8,2,DCV-ridgeRegression,0.8261111111111111,144,3967,1669.1109999999999,192
Empirical,cmg_ZhuF-2020_schizo_seed8,8,2,DCV-ridgeEnsemble,0.8527777777777777,144,3967,1669.1109999999999,192
Empirical,cmg_ZhuF-2020_schizo_seed8,8,2,SELBAL,0.7837398373983739,16,1,234.70000000000027,188
Empirical,cmg_ZhuF-2020_schizo_seed8,8,2,CLR-LASSO,0.7663956639566396,7,7,0.5050000000001091,188
Empirical,cmg_ZhuF-2020_schizo_seed8,8,2,Coda-LASSO,0.775609756097561,169,1,143.69400000000041,188
Empirical,cmg_ZhuF-2020_schizo_seed8,8,2,DCV-ridgeRegression,0.8308943089430895,71,1121,1348.676,188
Empirical,cmg_ZhuF-2020_schizo_seed8,8,2,DCV-ridgeEnsemble,0.8476964769647697,71,1121,1348.676,188
