Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,qitta_NAFLD_16s_seed14,14,1,SELBAL,0.6209893048128342,12,1,69.63300000000001,120
Empirical,qitta_NAFLD_16s_seed14,14,1,CLR-LASSO,0.6443850267379679,26,26,0.4759999999999991,120
Empirical,qitta_NAFLD_16s_seed14,14,1,Coda-LASSO,0.6811497326203209,24,1,145.194,120
Empirical,qitta_NAFLD_16s_seed14,14,2,DCV-ridgeRegression,0.6818181818181818,23,118,561.73,120
Empirical,qitta_NAFLD_16s_seed14,14,2,DCV-ridgeEnsemble,0.6758021390374331,23,118,561.73,120
Empirical,qitta_NAFLD_16s_seed14,14,2,SELBAL,0.7043354655294953,7,1,57.24800000000005,121
Empirical,qitta_NAFLD_16s_seed14,14,2,CLR-LASSO,0.6609808102345416,11,11,0.38400000000001455,121
Empirical,qitta_NAFLD_16s_seed14,14,2,Coda-LASSO,0.6901208244491827,17,1,108.67000000000007,121
Empirical,qitta_NAFLD_16s_seed14,14,2,DCV-ridgeRegression,0.7427149964463398,46,485,633.685,121
Empirical,qitta_NAFLD_16s_seed14,14,2,DCV-ridgeEnsemble,0.7377398720682302,46,485,633.685,121
