Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,qitta_NAFLD_16s_seed7,7,1,SELBAL,0.6099439775910365,16,1,70.387,120
Empirical,qitta_NAFLD_16s_seed7,7,1,CLR-LASSO,0.6547619047619048,15,15,0.4230000000000018,120
Empirical,qitta_NAFLD_16s_seed7,7,1,Coda-LASSO,0.6197478991596639,17,1,93.353,120
Empirical,qitta_NAFLD_16s_seed7,7,2,DCV-ridgeRegression,0.6862745098039216,68,906,544.933,120
Empirical,qitta_NAFLD_16s_seed7,7,2,DCV-ridgeEnsemble,0.7058823529411765,68,906,544.933,120
Empirical,qitta_NAFLD_16s_seed7,7,2,SELBAL,0.6132971506105834,14,1,52.997999999999934,124
Empirical,qitta_NAFLD_16s_seed7,7,2,CLR-LASSO,0.6078697421981004,23,23,0.21400000000005548,124
Empirical,qitta_NAFLD_16s_seed7,7,2,Coda-LASSO,0.6255088195386703,36,1,62.49199999999996,124
Empirical,qitta_NAFLD_16s_seed7,7,2,DCV-ridgeRegression,0.6485753052917232,93,1640,477.6809999999999,124
Empirical,qitta_NAFLD_16s_seed7,7,2,DCV-ridgeEnsemble,0.6540027137042063,93,1640,477.6809999999999,124
