Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,selbal_HIV_16s_seed13,13,1,SELBAL,0.5408653846153846,20,1,21.058,60
Empirical,selbal_HIV_16s_seed13,13,1,CLR-LASSO,0.5,0,0,0.2569999999999979,60
Empirical,selbal_HIV_16s_seed13,13,1,Coda-LASSO,0.6586538461538461,7,1,34.896,60
Empirical,selbal_HIV_16s_seed13,13,2,DCV-ridgeRegression,0.7307692307692308,23,113,173.719,60
Empirical,selbal_HIV_16s_seed13,13,2,DCV-ridgeEnsemble,0.6923076923076923,23,113,173.719,60
Empirical,selbal_HIV_16s_seed13,13,2,SELBAL,0.6495535714285714,8,1,9.430999999999983,60
Empirical,selbal_HIV_16s_seed13,13,2,CLR-LASSO,0.6729910714285714,7,7,0.22500000000002274,60
Empirical,selbal_HIV_16s_seed13,13,2,Coda-LASSO,0.6696428571428571,8,1,34.42900000000003,60
Empirical,selbal_HIV_16s_seed13,13,2,DCV-ridgeRegression,0.6618303571428571,45,405,191.15499999999997,60
Empirical,selbal_HIV_16s_seed13,13,2,DCV-ridgeEnsemble,0.6919642857142857,45,405,191.15499999999997,60
