Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,1,SELBAL,0.8198561464690497,NA,16,1,348.18100000000004,213
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,1,CLR-LASSO,0.8728204010462075,NA,54,54,0.9340000000000259,213
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,1,Coda-LASSO,0.8835004359197908,NA,47,1,506.23600000000005,213
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,1,glmnet4,0.876743679163034,0.8550566695727986,47,47,506.23600000000005,213
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,1,pls2,0.8977768090671316,0.8576721883173496,47,47,506.23600000000005,213
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,1,ranger1,0.8835004359197908,0.875871839581517,47,47,506.23600000000005,213
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,1,rangerE5,0.8965780296425457,0.8754359197907585,47,47,506.23600000000005,213
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,1,svmRadial3,0.9127070619006104,0.8554925893635571,47,47,506.23600000000005,213
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,1,DCV-ridgeRegression,0.9068221447253705,0.8650828247602441,47,47,506.23600000000005,213
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,1,DCV-ridgeEnsemble,0.9078029642545772,0.8757628596338274,47,47,506.23600000000005,213
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,1,DCV,0.8835004359197908,0.875871839581517,47,47,506.23600000000005,213
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,2,SELBAL,0.8063426329555362,NA,12,1,299.9109999999996,199
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,2,CLR-LASSO,0.8463382737576286,NA,47,47,0.7670000000007349,199
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,2,Coda-LASSO,0.8243243243243243,NA,57,1,351.70799999999963,199
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,2,glmnet4,0.8530950305143854,0.8744551002615518,57,57,351.70799999999963,199
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,2,pls2,0.849716652136007,0.9054054054054054,57,57,351.70799999999963,199
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,2,ranger1,0.8726024411508283,0.8887314734088928,57,57,351.70799999999963,199
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,2,rangerE5,0.8700414123801221,0.8805579773321708,57,57,351.70799999999963,199
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,2,svmRadial3,0.8501525719267655,0.8934176111595467,57,57,351.70799999999963,199
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,2,DCV-ridgeRegression,0.8607236268526591,0.9045335658238884,57,57,351.70799999999963,199
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,2,DCV-ridgeEnsemble,0.8692240627724499,0.8951612903225807,57,57,351.70799999999963,199
Empirical,cmg_NielsenHB-2014_ibd_seed6,6,2,DCV,0.849716652136007,0.9054054054054054,57,57,351.70799999999963,199
