Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_YuJ_2015_crc_seed13,13,1,SELBAL,0.7854251012145749,NA,9,1,242.905,253
Empirical,cmg_YuJ_2015_crc_seed13,13,1,CLR-LASSO,0.7763157894736842,NA,19,19,0.22100000000000364,253
Empirical,cmg_YuJ_2015_crc_seed13,13,1,Coda-LASSO,0.8734817813765183,NA,80,1,92.315,253
Empirical,cmg_YuJ_2015_crc_seed13,13,1,glmnet4,0.7935222672064778,0.5933262643788959,80,80,92.315,253
Empirical,cmg_YuJ_2015_crc_seed13,13,1,pls2,0.7945344129554657,0.5786742497268813,80,80,92.315,253
Empirical,cmg_YuJ_2015_crc_seed13,13,1,ranger1,0.826923076923077,0.5882052888631837,80,80,92.315,253
Empirical,cmg_YuJ_2015_crc_seed13,13,1,rangerE5,0.8309716599190283,0.6082072167598483,80,80,92.315,253
Empirical,cmg_YuJ_2015_crc_seed13,13,1,svmRadial3,0.8107287449392713,0.6031264057579848,80,80,92.315,253
Empirical,cmg_YuJ_2015_crc_seed13,13,1,DCV-ridgeRegression,0.819838056680162,0.5730030203714415,80,80,92.315,253
Empirical,cmg_YuJ_2015_crc_seed13,13,1,DCV-ridgeEnsemble,0.8279352226720648,0.6113039007775849,80,80,92.315,253
Empirical,cmg_YuJ_2015_crc_seed13,13,1,DCV,0.8279352226720648,0.6113039007775849,80,80,92.315,253
Empirical,cmg_YuJ_2015_crc_seed13,13,2,SELBAL,0.7307307307307307,NA,9,1,185.73800000000006,250
Empirical,cmg_YuJ_2015_crc_seed13,13,2,CLR-LASSO,0.7897897897897898,NA,12,12,0.3229999999998654,250
Empirical,cmg_YuJ_2015_crc_seed13,13,2,Coda-LASSO,0.7832832832832832,NA,205,1,77.38199999999983,250
Empirical,cmg_YuJ_2015_crc_seed13,13,2,glmnet4,0.8588588588588588,0.8582995951417004,205,205,77.38199999999983,250
Empirical,cmg_YuJ_2015_crc_seed13,13,2,pls2,0.8718718718718719,0.8805668016194331,205,205,77.38199999999983,250
Empirical,cmg_YuJ_2015_crc_seed13,13,2,ranger1,0.8558558558558559,0.8259109311740891,205,205,77.38199999999983,250
Empirical,cmg_YuJ_2015_crc_seed13,13,2,rangerE5,0.8428428428428428,0.8481781376518218,205,205,77.38199999999983,250
Empirical,cmg_YuJ_2015_crc_seed13,13,2,svmRadial3,0.8798798798798799,0.8663967611336032,205,205,77.38199999999983,250
Empirical,cmg_YuJ_2015_crc_seed13,13,2,DCV-ridgeRegression,0.8908908908908909,0.8886639676113359,205,205,77.38199999999983,250
Empirical,cmg_YuJ_2015_crc_seed13,13,2,DCV-ridgeEnsemble,0.8688688688688688,0.8886639676113359,205,205,77.38199999999983,250
Empirical,cmg_YuJ_2015_crc_seed13,13,2,DCV,0.8908908908908909,0.8886639676113359,205,205,77.38199999999983,250
