Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_ZellerG_2014_crc_seed5,5,1,SELBAL,0.7128205128205127,NA,8,1,458.962,264
Empirical,cmg_ZellerG_2014_crc_seed5,5,1,CLR-LASSO,0.7307692307692307,NA,34,34,0.3240000000000123,264
Empirical,cmg_ZellerG_2014_crc_seed5,5,1,Coda-LASSO,0.7525641025641026,NA,197,1,63.54599999999999,264
Empirical,cmg_ZellerG_2014_crc_seed5,5,1,glmnet4,0.7641025641025642,0.7564102564102564,197,197,63.54599999999999,264
Empirical,cmg_ZellerG_2014_crc_seed5,5,1,pls2,0.7794871794871795,0.7512820512820513,197,197,63.54599999999999,264
Empirical,cmg_ZellerG_2014_crc_seed5,5,1,ranger1,0.7884615384615384,0.823076923076923,197,197,63.54599999999999,264
Empirical,cmg_ZellerG_2014_crc_seed5,5,1,rangerE5,0.7801282051282051,0.7717948717948718,197,197,63.54599999999999,264
Empirical,cmg_ZellerG_2014_crc_seed5,5,1,svmRadial3,0.7782051282051282,0.7717948717948718,197,197,63.54599999999999,264
Empirical,cmg_ZellerG_2014_crc_seed5,5,1,DCV-ridgeRegression,0.7846153846153846,0.7435897435897436,197,197,63.54599999999999,264
Empirical,cmg_ZellerG_2014_crc_seed5,5,1,DCV-ridgeEnsemble,0.782051282051282,0.7871794871794872,197,197,63.54599999999999,264
Empirical,cmg_ZellerG_2014_crc_seed5,5,1,DCV,0.7884615384615384,0.823076923076923,197,197,63.54599999999999,264
Empirical,cmg_ZellerG_2014_crc_seed5,5,2,SELBAL,0.7269230769230769,NA,9,1,404.4290000000001,275
Empirical,cmg_ZellerG_2014_crc_seed5,5,2,CLR-LASSO,0.8615384615384616,NA,32,32,0.29100000000016735,275
Empirical,cmg_ZellerG_2014_crc_seed5,5,2,Coda-LASSO,0.7076923076923076,NA,154,1,76.08099999999968,275
Empirical,cmg_ZellerG_2014_crc_seed5,5,2,glmnet4,0.8576923076923078,0.6589743589743591,154,154,76.08099999999968,275
Empirical,cmg_ZellerG_2014_crc_seed5,5,2,pls2,0.8320512820512821,0.6666666666666667,154,154,76.08099999999968,275
Empirical,cmg_ZellerG_2014_crc_seed5,5,2,ranger1,0.8435897435897436,0.5833333333333334,154,154,76.08099999999968,275
Empirical,cmg_ZellerG_2014_crc_seed5,5,2,rangerE5,0.8230769230769232,0.5948717948717949,154,154,76.08099999999968,275
Empirical,cmg_ZellerG_2014_crc_seed5,5,2,svmRadial3,0.8243589743589743,0.641025641025641,154,154,76.08099999999968,275
Empirical,cmg_ZellerG_2014_crc_seed5,5,2,DCV-ridgeRegression,0.85,0.6102564102564103,154,154,76.08099999999968,275
Empirical,cmg_ZellerG_2014_crc_seed5,5,2,DCV-ridgeEnsemble,0.8474358974358974,0.6564102564102564,154,154,76.08099999999968,275
Empirical,cmg_ZellerG_2014_crc_seed5,5,2,DCV,0.8320512820512821,0.6666666666666667,154,154,76.08099999999968,275
