Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_ZhuF-2020_schizo_seed10,10,1,SELBAL,0.5663956639566395,NA,12,1,152.281,190
Empirical,cmg_ZhuF-2020_schizo_seed10,10,1,CLR-LASSO,0.7468834688346884,NA,32,32,0.26900000000000546,190
Empirical,cmg_ZhuF-2020_schizo_seed10,10,1,Coda-LASSO,0.7742547425474254,NA,129,1,104.04099999999997,190
Empirical,cmg_ZhuF-2020_schizo_seed10,10,1,glmnet4,0.7962059620596206,0.6346837944664032,129,129,104.04099999999997,190
Empirical,cmg_ZhuF-2020_schizo_seed10,10,1,pls2,0.82710027100271,0.6188735177865612,129,129,104.04099999999997,190
Empirical,cmg_ZhuF-2020_schizo_seed10,10,1,ranger1,0.8338753387533875,0.4823863636363636,129,129,104.04099999999997,190
Empirical,cmg_ZhuF-2020_schizo_seed10,10,1,rangerE5,0.8384823848238483,0.5988883399209486,129,129,104.04099999999997,190
Empirical,cmg_ZhuF-2020_schizo_seed10,10,1,svmRadial3,0.8395663956639566,0.6328557312252965,129,129,104.04099999999997,190
Empirical,cmg_ZhuF-2020_schizo_seed10,10,1,DCV-ridgeRegression,0.8124661246612466,0.6196146245059289,129,129,104.04099999999997,190
Empirical,cmg_ZhuF-2020_schizo_seed10,10,1,DCV-ridgeEnsemble,0.832520325203252,0.6329545454545454,129,129,104.04099999999997,190
Empirical,cmg_ZhuF-2020_schizo_seed10,10,1,DCV,0.7962059620596206,0.6346837944664032,129,129,104.04099999999997,190
Empirical,cmg_ZhuF-2020_schizo_seed10,10,2,SELBAL,0.6733333333333333,NA,17,1,149.63100000000009,184
Empirical,cmg_ZhuF-2020_schizo_seed10,10,2,CLR-LASSO,0.6827777777777777,NA,17,17,0.8920000000000528,184
Empirical,cmg_ZhuF-2020_schizo_seed10,10,2,Coda-LASSO,0.63,NA,55,1,100.08600000000001,184
Empirical,cmg_ZhuF-2020_schizo_seed10,10,2,glmnet4,0.6577777777777778,0.7447675512892904,55,55,100.08600000000001,184
Empirical,cmg_ZhuF-2020_schizo_seed10,10,2,pls2,0.7077777777777777,0.7226237530585357,55,55,100.08600000000001,184
Empirical,cmg_ZhuF-2020_schizo_seed10,10,2,ranger1,0.7238888888888889,0.7205768868812347,55,55,100.08600000000001,184
Empirical,cmg_ZhuF-2020_schizo_seed10,10,2,rangerE5,0.7116666666666667,0.7066287878787878,55,55,100.08600000000001,184
Empirical,cmg_ZhuF-2020_schizo_seed10,10,2,svmRadial3,0.735,0.7274962356484096,55,55,100.08600000000001,184
Empirical,cmg_ZhuF-2020_schizo_seed10,10,2,DCV-ridgeRegression,0.7088888888888889,0.7292631281761717,55,55,100.08600000000001,184
Empirical,cmg_ZhuF-2020_schizo_seed10,10,2,DCV-ridgeEnsemble,0.7133333333333333,0.7351472802559759,55,55,100.08600000000001,184
Empirical,cmg_ZhuF-2020_schizo_seed10,10,2,DCV,0.6577777777777778,0.7447675512892904,55,55,100.08600000000001,184
