Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,1,SELBAL,0.958498023715415,NA,12,1,49.033,86
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,1,CLR-LASSO,0.9672501411631846,NA,14,14,0.277000000000001,86
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,1,Coda-LASSO,0.9751552795031055,NA,5,1,55.333999999999996,86
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,1,glmnet4,0.9830604178430266,0.9813449803438361,5,5,55.333999999999996,86
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,1,pls2,0.9709203839638623,0.9845501085489643,5,5,55.333999999999996,86
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,1,ranger1,0.9769904009034444,0.9853116626572004,5,5,55.333999999999996,86
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,1,rangerE5,0.9810841332580463,0.9818015460893035,5,5,55.333999999999996,86
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,1,svmRadial3,0.9816487859966121,0.9830612274834243,5,5,55.333999999999996,86
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,1,DCV-ridgeRegression,0.9853190287972897,0.9819928514150482,5,5,55.333999999999996,86
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,1,DCV-ridgeEnsemble,0.9830604178430266,0.9847016859316631,5,5,55.333999999999996,86
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,1,DCV,0.9769904009034444,0.9853116626572004,5,5,55.333999999999996,86
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,2,SELBAL,0.941282122133186,NA,11,1,88.79000000000008,88
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,2,CLR-LASSO,0.9784470848300636,NA,20,20,0.27300000000002456,88
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,2,Coda-LASSO,0.9560652113843603,NA,7,1,43.93999999999994,88
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,2,glmnet4,0.9823155567836419,0.9971689256586281,7,7,43.93999999999994,88
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,2,pls2,0.9803813208068527,0.9920788593557472,7,7,43.93999999999994,88
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,2,ranger1,0.9874274661508704,0.9898638737311506,7,7,43.93999999999994,88
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,2,rangerE5,0.9812102790826195,0.9915361145338262,7,7,43.93999999999994,88
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,2,svmRadial3,0.9834208344846643,0.9904212873320425,7,7,43.93999999999994,88
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,2,DCV-ridgeRegression,0.9792760431058304,0.9915067769758845,7,7,43.93999999999994,88
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,2,DCV-ridgeEnsemble,0.9848024316109423,0.9937804377163645,7,7,43.93999999999994,88
Empirical,mbiomeHD_cdiSchubert_16s_seed8,8,2,DCV,0.9823155567836419,0.9971689256586281,7,7,43.93999999999994,88
