Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,SELBAL,0.71125,NA,6,1,185.137,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,CLR-LASSO,0.76,NA,8,8,0.19799999999997908,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,Coda-LASSO,0.7374999999999999,NA,156,1,29.92999999999998,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,ALR-GLMNET,0.77,NA,20,19,8.57899999999998,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,ALR-LASSO,0.76,NA,10,9,8.579999999999979,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,glmnet4,0.725,0.6699999999999999,77,1248,8.57899999999998,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,pls2,0.6675,0.75,77,1248,8.57899999999998,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,ranger1,0.7825,0.72,77,1248,8.57899999999998,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,rangerE5,0.72,0.71,77,1248,8.57899999999998,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,svmRadial3,0.6900000000000001,0.7250000000000001,77,1248,8.57899999999998,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,DCV-ridgeRegression,0.73,0.7250000000000001,77,1248,8.57899999999998,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,DCV-ridgeEnsemble,0.7275,0.7150000000000001,77,1248,8.57899999999998,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,1,DCV,0.6675,0.75,77,1248,8.57899999999998,237
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,SELBAL,0.65,NA,5,1,144.51200000000017,238
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,CLR-LASSO,0.7525000000000001,NA,8,8,0.1369999999999436,238
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,Coda-LASSO,0.68125,NA,174,1,17.616999999999962,238
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,ALR-GLMNET,0.735,NA,20,19,9.33400000000006,238
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,ALR-LASSO,0.76,NA,11,10,9.33400000000006,238
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,glmnet4,0.79,0.52,111,2677,9.33400000000006,238
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,pls2,0.79,0.565,111,2677,9.33400000000006,238
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,ranger1,0.8025,0.5549999999999999,111,2677,9.33400000000006,238
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,rangerE5,0.795,0.5449999999999999,111,2677,9.33400000000006,238
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,svmRadial3,0.7975,0.56,111,2677,9.33400000000006,238
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,DCV-ridgeRegression,0.7725,0.5700000000000001,111,2677,9.33400000000006,238
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,DCV-ridgeEnsemble,0.8175,0.56,111,2677,9.33400000000006,238
Empirical,cmg_ThomasAM_2019_crc_seed14,14,2,DCV,0.7725,0.5700000000000001,111,2677,9.33400000000006,238
