Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,SELBAL,0.4338461538461539,NA,10,1,328.82,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,CLR-LASSO,0.65,NA,5,5,0.2330000000000041,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,Coda-LASSO,0.5261538461538462,NA,192,1,52.02199999999999,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,ALR-GLMNET,0.5815384615384616,NA,123,122,20.119000000000028,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,ALR-LASSO,0.5553846153846154,NA,5,4,20.12800000000003,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,glmnet4,0.7169230769230769,0.7248520710059172,10,21,20.119000000000028,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,pls2,0.7092307692307692,0.7396449704142012,10,21,20.119000000000028,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,ranger1,0.7138461538461539,0.7100591715976332,10,21,20.119000000000028,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,rangerE5,0.7015384615384616,0.7041420118343196,10,21,20.119000000000028,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,svmRadial3,0.696923076923077,0.7189349112426036,10,21,20.119000000000028,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,DCV-ridgeRegression,0.7138461538461538,0.7130177514792899,10,21,20.119000000000028,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,DCV-ridgeEnsemble,0.28,0.727810650887574,10,21,20.119000000000028,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,1,DCV,0.7092307692307692,0.7396449704142012,10,21,20.119000000000028,250
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,SELBAL,0.5192307692307693,NA,9,1,306.2130000000002,249
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,CLR-LASSO,0.7011834319526628,NA,26,26,0.3040000000000873,249
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,Coda-LASSO,0.6153846153846154,NA,178,1,41.91300000000001,249
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,ALR-GLMNET,0.6967455621301775,NA,114,113,21.050000000000182,249
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,ALR-LASSO,0.6375739644970414,NA,12,11,21.050000000000182,249
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,glmnet4,0.6893491124260355,0.6121794871794872,187,6735,21.050000000000182,249
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,pls2,0.6568047337278107,0.6111932938856016,187,6735,21.050000000000182,249
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,ranger1,0.6087278106508875,0.5734714003944773,187,6735,21.050000000000182,249
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,rangerE5,0.6575443786982249,0.568293885601578,187,6735,21.050000000000182,249
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,svmRadial3,0.665680473372781,0.5877712031558185,187,6735,21.050000000000182,249
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,DCV-ridgeRegression,0.6804733727810651,0.6033037475345169,187,6735,21.050000000000182,249
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,DCV-ridgeEnsemble,0.6730769230769231,0.6028106508875739,187,6735,21.050000000000182,249
Empirical,cmg_ZVogtmannE_2016_crc_seed14,14,2,DCV,0.6893491124260355,0.6121794871794872,187,6735,21.050000000000182,249
