Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,SELBAL,0.6282051282051282,NA,10,1,214.40099999999998,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,CLR-LASSO,0.8320512820512821,NA,15,15,0.20199999999999818,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,Coda-LASSO,0.6641025641025641,NA,112,1,35.39499999999998,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,ALR-GLMNET,0.6820512820512821,NA,103,102,16.400999999999954,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,ALR-LASSO,0.7217948717948718,NA,23,22,16.400999999999954,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,glmnet4,0.7782051282051282,0.8487179487179487,47,458,16.400999999999954,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,pls2,0.7884615384615384,0.7974358974358975,47,458,16.400999999999954,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,ranger1,0.7724358974358975,0.8102564102564103,47,458,16.400999999999954,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,rangerE5,0.7846153846153846,0.823076923076923,47,458,16.400999999999954,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,svmRadial3,0.7717948717948718,0.8076923076923077,47,458,16.400999999999954,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,DCV-ridgeRegression,0.7666666666666667,0.8128205128205128,47,458,16.400999999999954,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,DCV-ridgeEnsemble,0.7858974358974359,0.8282051282051281,47,458,16.400999999999954,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,1,DCV,0.7782051282051282,0.8487179487179487,47,458,16.400999999999954,262
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,SELBAL,0.6961538461538461,NA,15,1,292.3319999999999,272
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,CLR-LASSO,0.6858974358974359,NA,272,272,0.3000000000001819,272
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,Coda-LASSO,0.7217948717948718,NA,195,1,68.07799999999997,272
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,ALR-GLMNET,0.8153846153846154,NA,112,111,17.829999999999927,272
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,ALR-LASSO,0.6980769230769232,NA,3,2,17.829999999999927,272
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,glmnet4,0.7602564102564102,0.7205128205128206,88,1684,17.829999999999927,272
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,pls2,0.7461538461538462,0.6846153846153846,88,1684,17.829999999999927,272
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,ranger1,0.8205128205128205,0.7307692307692308,88,1684,17.829999999999927,272
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,rangerE5,0.791025641025641,0.7294871794871796,88,1684,17.829999999999927,272
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,svmRadial3,0.8064102564102564,0.7230769230769232,88,1684,17.829999999999927,272
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,DCV-ridgeRegression,0.7743589743589744,0.7025641025641026,88,1684,17.829999999999927,272
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,DCV-ridgeEnsemble,0.7897435897435898,0.7230769230769232,88,1684,17.829999999999927,272
Empirical,cmg_ZellerG_2014_crc_seed12,12,2,DCV,0.8205128205128205,0.7307692307692308,88,1684,17.829999999999927,272
