Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,qitta_NAFLD_16s_seed11,11,1,SELBAL,0.6197583511016347,NA,17,1,72.899,123
Empirical,qitta_NAFLD_16s_seed11,11,1,CLR-LASSO,0.7185501066098081,NA,17,17,0.9309999999999974,123
Empirical,qitta_NAFLD_16s_seed11,11,1,Coda-LASSO,0.7036247334754797,NA,30,1,368.841,123
Empirical,qitta_NAFLD_16s_seed11,11,1,ALR-GLMNET,0.7036247334754797,NA,19,18,6.222000000000037,123
Empirical,qitta_NAFLD_16s_seed11,11,1,ALR-LASSO,0.6481876332622601,NA,7,6,6.222000000000037,123
Empirical,qitta_NAFLD_16s_seed11,11,1,glmnet4,0.6922530206112295,0.5935828877005347,76,1217,6.222000000000037,123
Empirical,qitta_NAFLD_16s_seed11,11,1,pls2,0.7867803837953091,0.6443850267379678,76,1217,6.222000000000037,123
Empirical,qitta_NAFLD_16s_seed11,11,1,ranger1,0.740227434257285,0.6838235294117647,76,1217,6.222000000000037,123
Empirical,qitta_NAFLD_16s_seed11,11,1,rangerE5,0.7260127931769723,0.6356951871657753,76,1217,6.222000000000037,123
Empirical,qitta_NAFLD_16s_seed11,11,1,svmRadial3,0.7647476901208244,0.6590909090909092,76,1217,6.222000000000037,123
Empirical,qitta_NAFLD_16s_seed11,11,1,DCV-ridgeRegression,0.7633262260127931,0.624331550802139,76,1217,6.222000000000037,123
Empirical,qitta_NAFLD_16s_seed11,11,1,DCV-ridgeEnsemble,0.7484008528784648,0.6443850267379678,76,1217,6.222000000000037,123
Empirical,qitta_NAFLD_16s_seed11,11,1,DCV,0.740227434257285,0.6838235294117647,76,1217,6.222000000000037,123
Empirical,qitta_NAFLD_16s_seed11,11,2,SELBAL,0.5962566844919787,NA,17,1,101.04199999999992,123
Empirical,qitta_NAFLD_16s_seed11,11,2,CLR-LASSO,0.6156417112299466,NA,4,4,0.15699999999992542,123
Empirical,qitta_NAFLD_16s_seed11,11,2,Coda-LASSO,0.6196524064171123,NA,8,1,65.32399999999984,123
Empirical,qitta_NAFLD_16s_seed11,11,2,ALR-GLMNET,0.6744652406417112,NA,71,70,5.805000000000064,123
Empirical,qitta_NAFLD_16s_seed11,11,2,ALR-LASSO,0.6544117647058824,NA,14,13,5.805000000000064,123
Empirical,qitta_NAFLD_16s_seed11,11,2,glmnet4,0.6878342245989305,0.7193404634581104,26,149,5.805000000000064,123
Empirical,qitta_NAFLD_16s_seed11,11,2,pls2,0.7266042780748663,0.7627450980392156,26,149,5.805000000000064,123
Empirical,qitta_NAFLD_16s_seed11,11,2,ranger1,0.7098930481283423,0.7044563279857398,26,149,5.805000000000064,123
Empirical,qitta_NAFLD_16s_seed11,11,2,rangerE5,0.6985294117647058,0.7550802139037434,26,149,5.805000000000064,123
Empirical,qitta_NAFLD_16s_seed11,11,2,svmRadial3,0.7192513368983957,0.7807486631016043,26,149,5.805000000000064,123
Empirical,qitta_NAFLD_16s_seed11,11,2,DCV-ridgeRegression,0.7078877005347594,0.756951871657754,26,149,5.805000000000064,123
Empirical,qitta_NAFLD_16s_seed11,11,2,DCV-ridgeEnsemble,0.7098930481283423,0.7566844919786095,26,149,5.805000000000064,123
Empirical,qitta_NAFLD_16s_seed11,11,2,DCV,0.7266042780748663,0.7627450980392156,26,149,5.805000000000064,123
