Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,selbal_Crohns_16s_seed6,6,1,SELBAL,0.7723581973581973,NA,11,1,41.39,48
Empirical,selbal_Crohns_16s_seed6,6,1,CLR-LASSO,0.8272727272727273,NA,31,31,0.597999999999999,48
Empirical,selbal_Crohns_16s_seed6,6,1,Coda-LASSO,0.7630536130536131,NA,8,1,279.359,48
Empirical,selbal_Crohns_16s_seed6,6,1,ALR-GLMNET,0.8018842268842269,NA,44,43,2.9049999999999727,48
Empirical,selbal_Crohns_16s_seed6,6,1,ALR-LASSO,0.8046620046620047,NA,34,33,2.9069999999999725,48
Empirical,selbal_Crohns_16s_seed6,6,1,glmnet4,0.8024669774669775,0.8132090132090132,36,289,2.9049999999999727,48
Empirical,selbal_Crohns_16s_seed6,6,1,pls2,0.7909673659673659,0.8099456099456099,36,289,2.9049999999999727,48
Empirical,selbal_Crohns_16s_seed6,6,1,ranger1,0.8282828282828283,0.8475912975912976,36,289,2.9049999999999727,48
Empirical,selbal_Crohns_16s_seed6,6,1,rangerE5,0.8326631701631702,0.8392579642579643,36,289,2.9049999999999727,48
Empirical,selbal_Crohns_16s_seed6,6,1,svmRadial3,0.8338189588189588,0.823076923076923,36,289,2.9049999999999727,48
Empirical,selbal_Crohns_16s_seed6,6,1,DCV-ridgeRegression,0.793978243978244,0.8178710178710178,36,289,2.9049999999999727,48
Empirical,selbal_Crohns_16s_seed6,6,1,DCV-ridgeEnsemble,0.8327117327117327,0.837956487956488,36,289,2.9049999999999727,48
Empirical,selbal_Crohns_16s_seed6,6,1,DCV,0.8282828282828283,0.8475912975912976,36,289,2.9049999999999727,48
Empirical,selbal_Crohns_16s_seed6,6,2,SELBAL,0.816977466977467,NA,16,1,50.065999999999804,48
Empirical,selbal_Crohns_16s_seed6,6,2,CLR-LASSO,0.840967365967366,NA,29,29,0.6169999999999618,48
Empirical,selbal_Crohns_16s_seed6,6,2,Coda-LASSO,0.8068764568764569,NA,14,1,255.06399999999985,48
Empirical,selbal_Crohns_16s_seed6,6,2,ALR-GLMNET,0.8185508935508936,NA,32,31,2.994000000000142,48
Empirical,selbal_Crohns_16s_seed6,6,2,ALR-LASSO,0.8242229992229992,NA,33,32,2.994000000000142,48
Empirical,selbal_Crohns_16s_seed6,6,2,glmnet4,0.8179681429681429,0.758003108003108,36,288,2.994000000000142,48
Empirical,selbal_Crohns_16s_seed6,6,2,pls2,0.7975330225330225,0.768026418026418,36,288,2.994000000000142,48
Empirical,selbal_Crohns_16s_seed6,6,2,ranger1,0.871552059052059,0.7993589743589744,36,288,2.994000000000142,48
Empirical,selbal_Crohns_16s_seed6,6,2,rangerE5,0.856954156954157,0.8023892773892773,36,288,2.994000000000142,48
Empirical,selbal_Crohns_16s_seed6,6,2,svmRadial3,0.8471056721056721,0.7875291375291376,36,288,2.994000000000142,48
Empirical,selbal_Crohns_16s_seed6,6,2,DCV-ridgeRegression,0.8116161616161616,0.7735819735819736,36,288,2.994000000000142,48
Empirical,selbal_Crohns_16s_seed6,6,2,DCV-ridgeEnsemble,0.8524669774669774,0.7988344988344989,36,288,2.994000000000142,48
Empirical,selbal_Crohns_16s_seed6,6,2,DCV,0.856954156954157,0.8023892773892773,36,288,2.994000000000142,48
