Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_FengQ-2015_crc_seed11,11,1,SELBAL,0.5811594202898551,NA,7,1,292.257,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,CLR-LASSO,0.8434782608695652,NA,23,23,0.1279999999999859,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,Coda-LASSO,0.8,NA,256,1,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR/PLR_glmnet4,0.8246376811594203,0.8755681818181817,50,460,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR/PLR_pls2,0.8797101449275362,0.8755681818181817,50,460,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR/PLR_ranger1,0.8681159420289855,0.843560606060606,50,460,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR/PLR_rangerE5,0.8920289855072464,0.8392045454545454,50,460,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR/PLR_svmRadial3,0.808695652173913,0.8361742424242424,50,460,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR/PLR_DCV-ridgeRegression,0.8188405797101449,0.8651988636363637,50,460,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR/PLR_DCV-ridgeEnsemble,0.8565217391304347,0.8643465909090909,50,460,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR/PLR_DCV,0.8246376811594203,0.8755681818181817,50,460,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR_glmnet4,0.8,0.8119318181818183,10,9,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR_pls2,0.8014492753623188,0.7863636363636364,10,9,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR_ranger1,0.8565217391304348,0.7573153409090909,10,9,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR_rangerE5,0.8710144927536232,0.8336174242424242,10,9,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR_svmRadial3,0.8405797101449275,0.8106534090909091,10,9,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR_DCV-ridgeRegression,0.7985507246376812,0.8175662878787879,10,9,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR_DCV-ridgeEnsemble,0.8478260869565217,0.8102272727272728,10,9,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,ALR_DCV,0.8246376811594203,0.8755681818181817,10,9,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,PLR_glmnet4,0.8985507246376812,0.8712594696969698,50,524,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,PLR_pls2,0.9144927536231884,0.8561553030303031,50,524,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,PLR_ranger1,0.8913043478260869,0.8132575757575757,50,524,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,PLR_rangerE5,0.9101449275362319,0.8485795454545455,50,524,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,PLR_svmRadial3,0.8739130434782608,0.8275568181818183,50,524,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,PLR_DCV-ridgeRegression,0.8753623188405797,0.850094696969697,50,524,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,PLR_DCV-ridgeEnsemble,0.8971014492753623,0.8622159090909091,50,524,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,1,PLR_DCV,0.8985507246376812,0.8712594696969698,50,524,29.132000000000005,280
Empirical,cmg_FengQ-2015_crc_seed11,11,2,SELBAL,0.7791023842917251,NA,5,1,195.4340000000002,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,CLR-LASSO,0.7952314165497896,NA,27,27,0.15399999999999636,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,Coda-LASSO,0.8863955119214586,NA,169,1,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR/PLR_glmnet4,0.8092566619915849,0.8371212121212122,197,7253,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR/PLR_pls2,0.8625525946704067,0.8851010101010102,197,7253,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR/PLR_ranger1,0.8316970546984572,0.8267676767676768,197,7253,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR/PLR_rangerE5,0.8513323983169705,0.8527777777777779,197,7253,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR/PLR_svmRadial3,0.820476858345021,0.8472222222222222,197,7253,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR/PLR_DCV-ridgeRegression,0.8429172510518934,0.8702020202020202,197,7253,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR/PLR_DCV-ridgeEnsemble,0.8401122019635343,0.8611111111111112,197,7253,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR/PLR_DCV,0.8625525946704067,0.8851010101010102,197,7253,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR_glmnet4,0.8190743338008415,0.8090909090909091,197,196,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR_pls2,0.8134642356241234,0.8795454545454545,197,196,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR_ranger1,0.7636746143057503,0.7364898989898989,197,196,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR_rangerE5,0.7945301542776999,0.7453282828282828,197,196,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR_svmRadial3,0.8106591865357644,0.7803030303030303,197,196,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR_DCV-ridgeRegression,0.7840112201963535,0.7404040404040404,197,196,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR_DCV-ridgeEnsemble,0.8330995792426368,0.7906565656565656,197,196,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,ALR_DCV,0.8625525946704067,0.8851010101010102,197,196,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,PLR_glmnet4,0.8302945301542777,0.8694444444444445,160,5039,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,PLR_pls2,0.879382889200561,0.8823232323232323,160,5039,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,PLR_ranger1,0.7868162692847125,0.8386363636363636,160,5039,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,PLR_rangerE5,0.8457223001402525,0.8522727272727273,160,5039,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,PLR_svmRadial3,0.8330995792426368,0.8621212121212121,160,5039,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,PLR_DCV-ridgeRegression,0.85273492286115,0.86489898989899,160,5039,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,PLR_DCV-ridgeEnsemble,0.8401122019635343,0.8671717171717173,160,5039,50.40299999999979,263
Empirical,cmg_FengQ-2015_crc_seed11,11,2,PLR_DCV,0.879382889200561,0.8823232323232323,160,5039,50.40299999999979,263
