Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,SELBAL,0.7909407665505226,NA,10,1,64.128,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,CLR-LASSO,0.8031358885017421,NA,20,20,0.31699999999999307,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,Coda-LASSO,0.8019744483159117,NA,28,1,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR/PLR_glmnet4,0.8089430894308943,0.9058956916099773,99,1898,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR/PLR_pls2,0.8362369337979094,0.9138321995464852,99,1898,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR/PLR_ranger1,0.8127177700348432,0.9109977324263039,99,1898,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR/PLR_rangerE5,0.8089430894308943,0.903061224489796,99,1898,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR/PLR_svmRadial3,0.8193960511033682,0.9172335600907029,99,1898,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR/PLR_DCV-ridgeRegression,0.8228803716608595,0.9081632653061225,99,1898,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR/PLR_DCV-ridgeEnsemble,0.8257839721254355,0.9183673469387754,99,1898,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR/PLR_DCV,0.8257839721254355,0.9183673469387754,99,1898,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR_glmnet4,0.8356562137049942,0.9149659863945578,99,98,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR_pls2,0.8385598141695703,0.9058956916099773,99,98,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR_ranger1,0.8103948896631823,0.9138321995464852,99,98,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR_rangerE5,0.804006968641115,0.9143990929705215,99,98,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR_svmRadial3,0.8228803716608595,0.9104308390022675,99,98,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR_DCV-ridgeRegression,0.8130081300813008,0.91156462585034,99,98,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR_DCV-ridgeEnsemble,0.8228803716608595,0.9138321995464852,99,98,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,ALR_DCV,0.8257839721254355,0.9183673469387754,99,98,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,PLR_glmnet4,0.8002322880371661,0.9126984126984126,63,876,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,PLR_pls2,0.8240418118466899,0.9070294784580498,63,876,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,PLR_ranger1,0.7984901277584204,0.9081632653061225,63,876,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,PLR_rangerE5,0.8011033681765389,0.8956916099773242,63,876,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,PLR_svmRadial3,0.8077816492450639,0.91156462585034,63,876,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,PLR_DCV-ridgeRegression,0.8042973286875725,0.9104308390022675,63,876,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,PLR_DCV-ridgeEnsemble,0.8101045296167247,0.9081632653061225,63,876,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,1,PLR_DCV,0.8002322880371661,0.9126984126984126,63,876,54.33999999999999,132
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,SELBAL,0.7006802721088435,NA,16,1,79.79499999999985,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,CLR-LASSO,0.8554421768707483,NA,2,2,0.12200000000007094,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,Coda-LASSO,0.8707482993197279,NA,29,1,55.21900000000005,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,ALR/PLR_glmnet4,0.865079365079365,0.7633786848072561,10,27,55.21900000000005,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,ALR/PLR_pls2,0.8537414965986394,0.7577097505668934,10,27,55.21900000000005,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,ALR/PLR_ranger1,0.8441043083900227,0.8364795918367347,10,27,55.21900000000005,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,ALR/PLR_rangerE5,0.8784013605442177,0.8269841269841269,10,27,55.21900000000005,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,ALR/PLR_svmRadial3,0.88718820861678,0.827437641723356,10,27,55.21900000000005,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,ALR/PLR_DCV-ridgeRegression,0.883219954648526,0.751984126984127,10,27,55.21900000000005,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,ALR/PLR_DCV-ridgeEnsemble,0.879251700680272,0.8200680272108843,10,27,55.21900000000005,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,ALR/PLR_DCV,0.8441043083900227,0.8364795918367347,10,27,55.21900000000005,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,ALR_glmnet4,0.8571428571428571,0.7403061224489795,10,9,55.21900000000005,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,ALR_pls2,0.8492063492063492,0.7379818594104308,10,9,55.21900000000005,134
Empirical,cmg_RubelMA-2020_STH_seed4,4,2,ALR_ranger1,0.8616780045351473,0.7966836734693877,10,9,55.21900000000005,134
