Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims
Empirical,selbal_HIV_16s_seed12,12,1,SELBAL,0.5973557692307693,NA,5,1,22.628,59
Empirical,selbal_HIV_16s_seed12,12,1,CLR-LASSO,0.5,NA,59,59,0.4579999999999984,59
Empirical,selbal_HIV_16s_seed12,12,1,Coda-LASSO,0.7247596153846154,NA,22,1,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR/PLR_glmnet4,0.8377403846153846,0.6517857142857142,17,45,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR/PLR_pls2,0.796875,0.6584821428571428,17,45,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR/PLR_ranger1,0.7908653846153846,0.6785714285714286,17,45,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR/PLR_rangerE5,0.7361778846153847,0.7075892857142857,17,45,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR/PLR_svmRadial3,0.7223557692307693,0.6741071428571428,17,45,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR/PLR_DCV-ridgeRegression,0.8569711538461539,0.5959821428571428,17,45,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR/PLR_DCV-ridgeEnsemble,0.8173076923076923,0.3191964285714286,17,45,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR/PLR_DCV,0.7361778846153847,0.7075892857142857,17,45,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR_glmnet4,0.8088942307692308,0.6808035714285714,17,16,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR_pls2,0.734375,0.6897321428571428,17,16,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR_ranger1,0.8509615384615384,0.6305803571428572,17,16,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR_rangerE5,0.7596153846153846,0.6138392857142857,17,16,164.205,59
Empirical,selbal_HIV_16s_seed12,12,1,ALR_svmRadial3,0.6706730769230769,0.7232142857142857,17,16,164.205,59
