Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm,sparsity
Permuted,16S_meanShift3_permuteTRUE_seed2_sparsity10,2,1,SELBAL,0.4824,13,1,63.11000000000001,118,TRUE,3,0.9
Permuted,16S_meanShift3_permuteTRUE_seed2_sparsity10,2,1,CLR-LASSO,0.5,0,0,0.9329999999999927,118,TRUE,3,0.9
Permuted,16S_meanShift3_permuteTRUE_seed2_sparsity10,2,1,Coda-LASSO,0.4844,2,1,53.77399999999999,118,TRUE,3,0.9
Permuted,16S_meanShift3_permuteTRUE_seed2_sparsity10,2,2,DCV-ridgeRegression,0.5884,44,425,501.28999999999996,118,TRUE,3,0.9
Permuted,16S_meanShift3_permuteTRUE_seed2_sparsity10,2,2,DCV-ridgeEnsemble,0.5924,44,425,501.28999999999996,118,TRUE,3,0.9
Permuted,16S_meanShift3_permuteTRUE_seed2_sparsity10,2,2,SELBAL,0.6264,29,1,85.33400000000006,118,TRUE,3,0.9
Permuted,16S_meanShift3_permuteTRUE_seed2_sparsity10,2,2,CLR-LASSO,0.5512,4,4,0.9519999999999982,118,TRUE,3,0.9
Permuted,16S_meanShift3_permuteTRUE_seed2_sparsity10,2,2,Coda-LASSO,0.4764,2,1,76.62900000000002,118,TRUE,3,0.9
Permuted,16S_meanShift3_permuteTRUE_seed2_sparsity10,2,2,DCV-ridgeRegression,0.4812,66,908,540.2429999999998,118,TRUE,3,0.9
Permuted,16S_meanShift3_permuteTRUE_seed2_sparsity10,2,2,DCV-ridgeEnsemble,0.4748,66,908,540.2429999999998,118,TRUE,3,0.9
