Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm,sparsity
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,1,SELBAL,0.5852,NA,15,1,174.377,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,1,CLR-LASSO,0.5,NA,2,2,0.1880000000000166,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,1,Coda-LASSO,0.5582,NA,180,1,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,glmnet4,0.5539999999999999,0.5632,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,glmnet4,0.5539999999999999,0.5264,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,pls2,0.5632,0.5599999999999999,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,pls2,0.5632,0.544,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,ranger1,0.5532,0.624,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,ranger1,0.5532,0.4824,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,rangerE5,0.5599999999999999,0.6336,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,rangerE5,0.5599999999999999,0.4768,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,svmRadial3,0.5632,0.5568,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,svmRadial3,0.5632,0.5072,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,DCV-ridgeRegression,0.5619999999999999,0.5632,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,DCV-ridgeRegression,0.5619999999999999,0.5248,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,DCV-ridgeEnsemble,0.5592,0.4176,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,DCV-ridgeEnsemble,0.5592,0.5216,180,180,116.22599999999997,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,SELBAL,0.52,NA,36,1,283.35900000000015,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,CLR-LASSO,0.5928,NA,7,7,0.23299999999994725,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,Coda-LASSO,0.5756,NA,40,1,241.43300000000022,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,glmnet4,0.658,0.6144000000000001,40,40,241.43300000000022,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,glmnet4,0.658,0.5408000000000001,40,40,241.43300000000022,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,pls2,0.6352,0.5952,40,40,241.43300000000022,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,pls2,0.6352,0.5088,40,40,241.43300000000022,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,ranger1,0.5714,0.45840000000000003,40,40,241.43300000000022,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,ranger1,0.5714,0.58,40,40,241.43300000000022,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,rangerE5,0.6068,0.4688,40,40,241.43300000000022,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,rangerE5,0.6068,0.5616,40,40,241.43300000000022,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,svmRadial3,0.6424,0.5616,40,40,241.43300000000022,181,FALSE,3,0.7
Empirical,WGS_meanShift3_permuteFALSE_seed5_sparsity30,5,2,svmRadial3,0.6424,0.5792,40,40,241.43300000000022,181,FALSE,3,0.7
