Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm,sparsity
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,SELBAL,0.7208,NA,7,1,75.957,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,CLR-LASSO,0.7372,NA,23,23,0.6689999999999969,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,Coda-LASSO,0.578,NA,28,1,381.929,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR/PLR_glmnet4,0.747,0.7496,10,10,43.174999999999955,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR/PLR_pls2,0.743,0.7256,10,10,43.174999999999955,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR/PLR_ranger1,0.7562,0.698,10,10,43.174999999999955,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR/PLR_rangerE5,0.7642,0.6932,10,10,43.174999999999955,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR/PLR_svmRadial3,0.7214,0.696,10,10,43.174999999999955,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR/PLR_DCV-ridgeRegression,0.7482,0.7296,10,10,43.174999999999955,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR/PLR_DCV-ridgeEnsemble,0.7638,0.7184,10,10,43.174999999999955,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR/PLR_ALR/PLR_DCV,0.7482,0.7296,10,10,43.174999999999955,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR_glmnet4,0.7446,0.7624,10,9,39.97999999999979,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR_pls2,0.7454,0.7143999999999999,10,9,39.97999999999979,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR_ranger1,0.734,0.6824,10,9,39.97999999999979,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR_rangerE5,0.743,0.7088,10,9,39.97999999999979,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR_svmRadial3,0.721,0.6952,10,9,39.97999999999979,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR_DCV-ridgeRegression,0.7422,0.748,10,9,39.97999999999979,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR_DCV-ridgeEnsemble,0.761,0.7336,10,9,39.97999999999979,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,1,ALR_ALR_DCV,0.7422,0.748,10,9,39.97999999999979,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_glmnet4,0.9104,0.6488,43,354,70.07600000000002,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_pls2,0.9007999999999999,0.6856,43,354,70.07600000000002,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_ranger1,0.8954,0.5800000000000001,43,354,70.07600000000002,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_rangerE5,0.8944,0.5052000000000001,43,354,70.07600000000002,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_svmRadial3,0.894,0.6112,43,354,70.07600000000002,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_DCV-ridgeRegression,0.9044,0.6048,43,354,70.07600000000002,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_DCV-ridgeEnsemble,0.9084,0.6152,43,354,70.07600000000002,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_PLR_DCV,0.9084,0.6152,43,354,70.07600000000002,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,SELBAL,0.8224,NA,18,1,107.73099999999977,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,CLR-LASSO,0.6328,NA,12,12,0.21099999999978536,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,Coda-LASSO,0.5332,NA,26,1,243.18399999999974,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR/PLR_glmnet4,0.9431999999999999,0.7672,93,1362,75.30000000000018,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR/PLR_pls2,0.9503999999999999,0.7576,93,1362,75.30000000000018,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR/PLR_ranger1,0.8662,0.6244,93,1362,75.30000000000018,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR/PLR_rangerE5,0.8608,0.6552,93,1362,75.30000000000018,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR/PLR_svmRadial3,0.9027999999999999,0.6824,93,1362,75.30000000000018,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR/PLR_DCV-ridgeRegression,0.94,0.7368,93,1362,75.30000000000018,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR/PLR_DCV-ridgeEnsemble,0.9228,0.7232000000000001,93,1362,75.30000000000018,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR/PLR_ALR/PLR_DCV,0.94,0.7368,93,1362,75.30000000000018,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR_glmnet4,0.8927999999999999,0.7384,43,42,50.580999999999676,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR_pls2,0.8416,0.7096,43,42,50.580999999999676,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR_ranger1,0.861,0.5672,43,42,50.580999999999676,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR_rangerE5,0.8944,0.5840000000000001,43,42,50.580999999999676,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR_svmRadial3,0.8704,0.6816,43,42,50.580999999999676,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR_DCV-ridgeRegression,0.8956,0.744,43,42,50.580999999999676,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR_DCV-ridgeEnsemble,0.8916,0.6983999999999999,43,42,50.580999999999676,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,ALR_ALR_DCV,0.8956,0.744,43,42,50.580999999999676,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_glmnet4,0.9316,0.7872,60,631,74.74299999999948,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_pls2,0.9196,0.7824,60,631,74.74299999999948,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_ranger1,0.8422,0.6992,60,631,74.74299999999948,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_rangerE5,0.849,0.71,60,631,74.74299999999948,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_svmRadial3,0.8772,0.7368,60,631,74.74299999999948,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_DCV-ridgeRegression,0.9076,0.7552,60,631,74.74299999999948,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_DCV-ridgeEnsemble,0.8999999999999999,0.7592,60,631,74.74299999999948,124,FALSE,3,0.9
Empirical,16S_meanShift3_permuteFALSE_seed5_sparsity10,5,2,PLR_PLR_DCV,0.8999999999999999,0.7592,60,631,74.74299999999948,124,FALSE,3,0.9
