Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm
Empirical,WGS_meanShift4_permuteFALSE_seed1,1,1,CLR-LASSO,0.6072,17,17,0.543000000000001,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,1,1,Coda-LASSO,0.5784,2,1,63.877,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,1,2,DCV-ridgeRegression,0.8304,100,593,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,1,2,DCV-ridgeEnsemble,0.8744,100,593,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,1,2,DCV-rfRFE,0.872,87,316,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,1,2,CLR-LASSO,0.5732,39,39,0.4500000000000455,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,1,2,Coda-LASSO,0.648,2,1,57.65000000000009,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,1,2,DCV-ridgeRegression,0.7819999999999999,67,364,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,1,2,DCV-ridgeEnsemble,0.7764,67,364,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,1,2,DCV-rfRFE,0.7696,59,251,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,2,1,CLR-LASSO,0.6536,40,40,0.34799999999995634,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,2,1,Coda-LASSO,0.5856,5,1,48.04299999999989,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,2,2,DCV-ridgeRegression,0.8516,133,1256,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,2,2,DCV-ridgeEnsemble,0.8488,133,1256,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,2,2,DCV-rfRFE,0.8288,109,475,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,2,2,CLR-LASSO,0.706,8,8,0.6440000000002328,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,2,2,Coda-LASSO,0.6436,2,1,86.00800000000027,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,2,2,DCV-ridgeRegression,0.8867999999999999,67,412,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,2,2,DCV-ridgeEnsemble,0.8688,67,412,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,2,2,DCV-rfRFE,0.8675999999999999,48,124,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,3,1,CLR-LASSO,0.5,0,0,0.47000000000025466,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,3,1,Coda-LASSO,0.508,2,1,87.76000000000022,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,3,2,DCV-ridgeRegression,0.816,34,170,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,3,2,DCV-ridgeEnsemble,0.8168,34,170,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,3,2,DCV-rfRFE,0.8188,29,91,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,3,2,CLR-LASSO,0.6704,28,28,0.35199999999986176,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,3,2,Coda-LASSO,0.534,2,1,94.10699999999997,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,3,2,DCV-ridgeRegression,0.9199999999999999,133,914,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,3,2,DCV-ridgeEnsemble,0.9232,133,914,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,3,2,DCV-rfRFE,0.9244,118,487,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,4,1,CLR-LASSO,0.5619999999999999,37,37,0.33100000000013097,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,4,1,Coda-LASSO,0.6232,2,1,75.67900000000009,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,4,2,DCV-ridgeRegression,0.7827999999999999,133,937,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,4,2,DCV-ridgeEnsemble,0.7856,133,937,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,4,2,DCV-rfRFE,0.7916,127,645,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,4,2,CLR-LASSO,0.6488,24,24,0.6220000000002983,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,4,2,Coda-LASSO,0.7272,2,1,76.88500000000022,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,4,2,DCV-ridgeRegression,0.8707999999999999,100,704,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,4,2,DCV-ridgeEnsemble,0.8759999999999999,100,704,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,4,2,DCV-rfRFE,0.8684,99,485,NA,177,FALSE,4
Empirical,WGS_meanShift4_permuteFALSE_seed1,5,1,CLR-LASSO,0.6392,23,23,0.3209999999999127,177,FALSE,4
