Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm
Permuted,WGS_meanShift4_permuteTRUE_seed1,1,1,CLR-LASSO,0.582,9,9,0.8870000000000005,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,1,1,Coda-LASSO,0.4976,6,1,108.57900000000001,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,1,2,DCV-ridgeRegression,0.6312,67,350,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,1,2,DCV-ridgeEnsemble,0.3796,67,350,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,1,2,DCV-rfRFE,0.3676,60,159,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,1,2,CLR-LASSO,0.5,0,0,0.9220000000000255,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,1,2,Coda-LASSO,0.6016,2,1,145.22399999999993,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,1,2,DCV-ridgeRegression,0.5088,34,71,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,1,2,DCV-ridgeEnsemble,0.5112,34,71,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,1,2,DCV-rfRFE,0.5068,32,49,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,2,1,CLR-LASSO,0.5736,33,33,0.5729999999998654,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,2,1,Coda-LASSO,0.5736,2,1,103.76400000000012,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,2,2,DCV-ridgeRegression,0.5204,133,672,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,2,2,DCV-ridgeEnsemble,0.488,133,672,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,2,2,DCV-rfRFE,0.48,109,254,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,2,2,CLR-LASSO,0.5,0,0,0.6959999999999127,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,2,2,Coda-LASSO,0.5092,2,1,111.61499999999978,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,2,2,DCV-ridgeRegression,0.5944,67,249,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,2,2,DCV-ridgeEnsemble,0.4252,67,249,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,2,2,DCV-rfRFE,0.428,65,172,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,3,1,CLR-LASSO,0.5,0,0,0.6390000000001237,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,3,1,Coda-LASSO,0.5412,2,1,127.9310000000005,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,3,2,DCV-ridgeRegression,0.5432,133,960,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,3,2,DCV-ridgeEnsemble,0.4376,133,960,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,3,2,DCV-rfRFE,0.4444,105,288,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,3,2,CLR-LASSO,0.5,0,0,0.7839999999996508,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,3,2,Coda-LASSO,0.5216,2,1,122.83899999999994,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,3,2,DCV-ridgeRegression,0.52,100,489,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,3,2,DCV-ridgeEnsemble,0.4768,100,489,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,3,2,DCV-rfRFE,0.4924,77,185,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,4,1,CLR-LASSO,0.4788,41,41,0.7569999999996071,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,4,1,Coda-LASSO,0.6128,2,1,104.03300000000036,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,4,2,DCV-ridgeRegression,0.5844,100,343,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,4,2,DCV-ridgeEnsemble,0.5832,100,343,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,4,2,DCV-rfRFE,0.5876,63,103,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,4,2,CLR-LASSO,0.5,0,0,1.207999999999629,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,4,2,Coda-LASSO,0.5851999999999999,3,1,174.4300000000003,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,4,2,DCV-ridgeRegression,0.5176,34,101,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,4,2,DCV-ridgeEnsemble,0.496,34,101,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,4,2,DCV-rfRFE,0.5048,23,30,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,5,1,CLR-LASSO,0.5,0,0,1.0519999999996799,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,5,1,Coda-LASSO,0.5784,2,1,152.83100000000013,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,5,2,DCV-ridgeRegression,0.5424,133,1056,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,5,2,DCV-ridgeEnsemble,0.4384,133,1056,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,5,2,DCV-rfRFE,0.436,111,317,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,5,2,CLR-LASSO,0.5,0,0,0.7420000000001892,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,5,2,Coda-LASSO,0.642,2,1,173.6299999999992,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,5,2,DCV-ridgeRegression,0.518,133,774,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,5,2,DCV-ridgeEnsemble,0.474,133,774,NA,177,TRUE,4
Permuted,WGS_meanShift4_permuteTRUE_seed1,5,2,DCV-rfRFE,0.4712,123,473,NA,177,TRUE,4
