Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_FengQ-2015_crc,1,1,CLR-LASSO,0.8176718092566619,22,22,17.598999999999997,267
Empirical,cmg_FengQ-2015_crc,1,1,Coda-LASSO,0.814866760168303,200,1,16.909000000000006,267
Empirical,cmg_FengQ-2015_crc,1,2,DCV-ridgeRegression,0.8990182328190743,150,1363,NA,267
Empirical,cmg_FengQ-2015_crc,1,2,DCV-ridgeEnsemble,0.8976157082748948,150,1363,NA,267
Empirical,cmg_FengQ-2015_crc,1,2,DCV-rfRFE,0.884992987377279,139,408,NA,267
Empirical,cmg_FengQ-2015_crc,1,2,CLR-LASSO,0.8405797101449275,24,24,0.33100000000013097,268
Empirical,cmg_FengQ-2015_crc,1,2,Coda-LASSO,0.8521739130434783,226,1,16.937000000000126,268
Empirical,cmg_FengQ-2015_crc,1,2,DCV-ridgeRegression,0.9028985507246376,201,1237,NA,268
Empirical,cmg_FengQ-2015_crc,1,2,DCV-ridgeEnsemble,0.9072463768115943,201,1237,NA,268
Empirical,cmg_FengQ-2015_crc,1,2,DCV-rfRFE,0.9173913043478261,184,562,NA,268
Empirical,cmg_FengQ-2015_crc,2,1,CLR-LASSO,0.8723702664796634,23,23,0.32600000000002183,264
Empirical,cmg_FengQ-2015_crc,2,1,Coda-LASSO,0.9046283309957924,232,1,11.148000000000138,264
Empirical,cmg_FengQ-2015_crc,2,2,DCV-ridgeRegression,0.9158485273492286,100,591,NA,264
Empirical,cmg_FengQ-2015_crc,2,2,DCV-ridgeEnsemble,0.908835904628331,100,591,NA,264
Empirical,cmg_FengQ-2015_crc,2,2,DCV-rfRFE,0.8962131837307152,96,315,NA,264
Empirical,cmg_FengQ-2015_crc,2,2,CLR-LASSO,0.8420289855072464,23,23,0.31300000000010186,272
Empirical,cmg_FengQ-2015_crc,2,2,Coda-LASSO,0.7804347826086957,206,1,17.19900000000007,272
Empirical,cmg_FengQ-2015_crc,2,2,DCV-ridgeRegression,0.88115942028985506,204,1030,NA,272
Empirical,cmg_FengQ-2015_crc,2,2,DCV-ridgeEnsemble,0.8956521739130435,204,1030,NA,272
Empirical,cmg_FengQ-2015_crc,2,2,DCV-rfRFE,0.8855072463768116,185,546,NA,272
Empirical,cmg_FengQ-2015_crc,3,1,CLR-LASSO,0.8709677419354839,22,22,0.3010000000003856,279
Empirical,cmg_FengQ-2015_crc,3,1,Coda-LASSO,0.8092566619915849,172,1,16.353000000000065,279
Empirical,cmg_FengQ-2015_crc,3,2,DCV-ridgeRegression,0.8359046283309958,105,815,NA,279
Empirical,cmg_FengQ-2015_crc,3,2,DCV-ridgeEnsemble,0.8583450210378681,105,815,NA,279
Empirical,cmg_FengQ-2015_crc,3,2,DCV-rfRFE,0.8415147265077139,94,307,NA,279
Empirical,cmg_FengQ-2015_crc,3,2,CLR-LASSO,0.8028985507246377,19,19,0.33100000000013097,261
Empirical,cmg_FengQ-2015_crc,3,2,Coda-LASSO,0.8166666666666668,209,1,14.29699999999957,261
Empirical,cmg_FengQ-2015_crc,3,2,DCV-ridgeRegression,0.88115942028985506,147,794,NA,261
Empirical,cmg_FengQ-2015_crc,3,2,DCV-ridgeEnsemble,0.8913043478260869,147,794,NA,261
Empirical,cmg_FengQ-2015_crc,3,2,DCV-rfRFE,0.8884057971014493,130,296,NA,261
Empirical,cmg_FengQ-2015_crc,4,1,CLR-LASSO,0.844927536231884,29,29,0.3040000000000873,262
Empirical,cmg_FengQ-2015_crc,4,1,Coda-LASSO,0.7797101449275363,180,1,11.228000000000065,262
Empirical,cmg_FengQ-2015_crc,4,2,DCV-ridgeRegression,0.8347826086956521,196,1239,NA,262
Empirical,cmg_FengQ-2015_crc,4,2,DCV-ridgeEnsemble,0.8391304347826087,196,1239,NA,262
Empirical,cmg_FengQ-2015_crc,4,2,DCV-rfRFE,0.8405797101449275,194,1127,NA,262
Empirical,cmg_FengQ-2015_crc,4,2,CLR-LASSO,0.9046283309957924,9,9,0.33400000000074215,278
Empirical,cmg_FengQ-2015_crc,4,2,Coda-LASSO,0.9915848527349228,162,1,16.60400000000118,278
Empirical,cmg_FengQ-2015_crc,4,2,DCV-ridgeRegression,0.97054698457223,53,259,NA,278
Empirical,cmg_FengQ-2015_crc,4,2,DCV-ridgeEnsemble,0.967741935483871,53,259,NA,278
Empirical,cmg_FengQ-2015_crc,4,2,DCV-rfRFE,0.97054698457223,51,179,NA,278
Empirical,cmg_FengQ-2015_crc,5,1,CLR-LASSO,0.8985507246376812,18,18,0.3349999999991269,276
Empirical,cmg_FengQ-2015_crc,5,1,Coda-LASSO,0.8507246376811594,262,1,12.655000000000655,276
Empirical,cmg_FengQ-2015_crc,5,2,DCV-ridgeRegression,0.8913043478260869,207,1901,NA,276
Empirical,cmg_FengQ-2015_crc,5,2,DCV-ridgeEnsemble,0.9173913043478261,207,1901,NA,276
Empirical,cmg_FengQ-2015_crc,5,2,DCV-rfRFE,0.9043478260869565,182,562,NA,276
Empirical,cmg_FengQ-2015_crc,5,2,CLR-LASSO,0.7924263674614306,26,26,0.29800000000068394,259
Empirical,cmg_FengQ-2015_crc,5,2,Coda-LASSO,0.7531556802244039,125,1,16.493999999998778,259
Empirical,cmg_FengQ-2015_crc,5,2,DCV-ridgeRegression,0.8401122019635343,194,484,NA,259
Empirical,cmg_FengQ-2015_crc,5,2,DCV-ridgeEnsemble,0.8653576437587658,194,484,NA,259
Empirical,cmg_FengQ-2015_crc,5,2,DCV-rfRFE,0.8541374474053296,163,256,NA,259
