Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_RubelMA-2020_STH,1,1,CLR-LASSO,0.7659698025551684,29,29,17.624000000000002,140
Empirical,cmg_RubelMA-2020_STH,1,1,Coda-LASSO,0.7845528455284553,29,1,32.388000000000005,140
Empirical,cmg_RubelMA-2020_STH,1,2,DCV-ridgeRegression,0.90534262485482,53,208,NA,140
Empirical,cmg_RubelMA-2020_STH,1,2,DCV-ridgeEnsemble,0.8885017421602788,53,208,NA,140
Empirical,cmg_RubelMA-2020_STH,1,2,DCV-rfRFE,0.8943089430894309,40,78,NA,140
Empirical,cmg_RubelMA-2020_STH,1,2,CLR-LASSO,0.8219954648526077,29,29,0.32399999999995543,126
Empirical,cmg_RubelMA-2020_STH,1,2,Coda-LASSO,0.8007369614512472,26,1,18.673000000000002,126
Empirical,cmg_RubelMA-2020_STH,1,2,DCV-ridgeRegression,0.8412698412698413,71,360,NA,126
Empirical,cmg_RubelMA-2020_STH,1,2,DCV-ridgeEnsemble,0.8514739229024944,71,360,NA,126
Empirical,cmg_RubelMA-2020_STH,1,2,DCV-rfRFE,0.8514739229024944,46,108,NA,126
Empirical,cmg_RubelMA-2020_STH,2,1,CLR-LASSO,0.8208616780045351,7,7,0.3580000000001746,142
Empirical,cmg_RubelMA-2020_STH,2,1,Coda-LASSO,0.8021541950113379,27,1,25.13000000000011,142
Empirical,cmg_RubelMA-2020_STH,2,2,DCV-ridgeRegression,0.861111111111111,106,519,NA,142
Empirical,cmg_RubelMA-2020_STH,2,2,DCV-ridgeEnsemble,0.844671201814059,106,519,NA,142
Empirical,cmg_RubelMA-2020_STH,2,2,DCV-rfRFE,0.8304988662131519,81,155,NA,142
Empirical,cmg_RubelMA-2020_STH,2,2,CLR-LASSO,0.7984901277584204,24,24,0.33599999999978536,129
Empirical,cmg_RubelMA-2020_STH,2,2,Coda-LASSO,0.7979094076655052,17,1,35.26000000000022,129
Empirical,cmg_RubelMA-2020_STH,2,2,DCV-ridgeRegression,0.8344947735191638,49,159,NA,129
Empirical,cmg_RubelMA-2020_STH,2,2,DCV-ridgeEnsemble,0.8263646922183507,49,159,NA,129
Empirical,cmg_RubelMA-2020_STH,2,2,DCV-rfRFE,0.8211382113821138,41,60,NA,129
Empirical,cmg_RubelMA-2020_STH,3,1,CLR-LASSO,0.8877551020408163,18,18,0.35599999999976717,133
Empirical,cmg_RubelMA-2020_STH,3,1,Coda-LASSO,0.8809523809523809,25,1,36.05000000000018,133
Empirical,cmg_RubelMA-2020_STH,3,2,DCV-ridgeRegression,0.8752834467120181,50,302,NA,133
Empirical,cmg_RubelMA-2020_STH,3,2,DCV-ridgeEnsemble,0.8815192743764172,50,302,NA,133
Empirical,cmg_RubelMA-2020_STH,3,2,DCV-rfRFE,0.8781179138321995,49,255,NA,133
Empirical,cmg_RubelMA-2020_STH,3,2,CLR-LASSO,0.8002322880371661,17,17,0.3589999999999236,132
Empirical,cmg_RubelMA-2020_STH,3,2,Coda-LASSO,0.8228803716608595,33,1,27.494000000000142,132
Empirical,cmg_RubelMA-2020_STH,3,2,DCV-ridgeRegression,0.8809523809523809,50,140,NA,132
Empirical,cmg_RubelMA-2020_STH,3,2,DCV-ridgeEnsemble,0.8693379790940766,50,140,NA,132
