Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_RubelMA-2020_STH_seed2,2,1,CLR-LASSO,0.8208616780045351,7,7,0.363999999999999,142
Empirical,cmg_RubelMA-2020_STH_seed2,2,1,Coda-LASSO,0.8021541950113379,27,1,61.46000000000001,142
Empirical,cmg_RubelMA-2020_STH_seed2,2,2,DCV-ridgeRegression,0.861111111111111,106,519,NA,142
Empirical,cmg_RubelMA-2020_STH_seed2,2,2,DCV-ridgeEnsemble,0.844671201814059,106,519,NA,142
Empirical,cmg_RubelMA-2020_STH_seed2,2,2,DCV-rfRFE,0.8304988662131519,81,155,NA,142
Empirical,cmg_RubelMA-2020_STH_seed2,2,2,CLR-LASSO,0.7984901277584204,24,24,0.26699999999993906,129
Empirical,cmg_RubelMA-2020_STH_seed2,2,2,Coda-LASSO,0.7979094076655052,17,1,84.81600000000003,129
Empirical,cmg_RubelMA-2020_STH_seed2,2,2,DCV-ridgeRegression,0.8344947735191638,49,159,NA,129
Empirical,cmg_RubelMA-2020_STH_seed2,2,2,DCV-ridgeEnsemble,0.8263646922183507,49,159,NA,129
Empirical,cmg_RubelMA-2020_STH_seed2,2,2,DCV-rfRFE,0.8211382113821138,41,60,NA,129
