Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_ThomasAM_2019_crc,1,1,CLR-LASSO,0.79,15,15,21.884999999999998,232
Empirical,cmg_ThomasAM_2019_crc,1,1,Coda-LASSO,0.76875,164,1,14.140999999999998,232
Empirical,cmg_ThomasAM_2019_crc,1,2,DCV-ridgeRegression,0.8075,44,206,NA,232
Empirical,cmg_ThomasAM_2019_crc,1,2,DCV-ridgeEnsemble,0.8125,44,206,NA,232
Empirical,cmg_ThomasAM_2019_crc,1,2,DCV-rfRFE,0.8275,41,142,NA,232
Empirical,cmg_ThomasAM_2019_crc,1,2,CLR-LASSO,0.835,5,5,0.3480000000001837,231
Empirical,cmg_ThomasAM_2019_crc,1,2,Coda-LASSO,0.73625,181,1,13.27299999999991,231
Empirical,cmg_ThomasAM_2019_crc,1,2,DCV-ridgeRegression,0.845,44,134,NA,231
Empirical,cmg_ThomasAM_2019_crc,1,2,DCV-ridgeEnsemble,0.8425,44,134,NA,231
Empirical,cmg_ThomasAM_2019_crc,1,2,DCV-rfRFE,0.85,42,103,NA,231
Empirical,cmg_ThomasAM_2019_crc,2,1,CLR-LASSO,0.65,18,18,0.32700000000022555,248
Empirical,cmg_ThomasAM_2019_crc,2,1,Coda-LASSO,0.69125,167,1,6.945999999999913,248
Empirical,cmg_ThomasAM_2019_crc,2,2,DCV-ridgeRegression,0.755,47,204,NA,248
Empirical,cmg_ThomasAM_2019_crc,2,2,DCV-ridgeEnsemble,0.73,47,204,NA,248
Empirical,cmg_ThomasAM_2019_crc,2,2,DCV-rfRFE,0.735,45,125,NA,248
Empirical,cmg_ThomasAM_2019_crc,2,2,CLR-LASSO,0.5,0,0,0.3289999999997235,225
Empirical,cmg_ThomasAM_2019_crc,2,2,Coda-LASSO,0.60625,170,1,11.968000000000302,225
Empirical,cmg_ThomasAM_2019_crc,2,2,DCV-ridgeRegression,0.6725,169,983,NA,225
Empirical,cmg_ThomasAM_2019_crc,2,2,DCV-ridgeEnsemble,0.6525,169,983,NA,225
Empirical,cmg_ThomasAM_2019_crc,2,2,DCV-rfRFE,0.6625,161,523,NA,225
Empirical,cmg_ThomasAM_2019_crc,3,1,CLR-LASSO,0.6675,8,8,0.30900000000019645,229
Empirical,cmg_ThomasAM_2019_crc,3,1,Coda-LASSO,0.56,138,1,11.335000000000036,229
Empirical,cmg_ThomasAM_2019_crc,3,2,DCV-ridgeRegression,0.59,129,461,NA,229
Empirical,cmg_ThomasAM_2019_crc,3,2,DCV-ridgeEnsemble,0.655,129,461,NA,229
Empirical,cmg_ThomasAM_2019_crc,3,2,DCV-rfRFE,0.6925,102,173,NA,229
Empirical,cmg_ThomasAM_2019_crc,3,2,CLR-LASSO,0.5775,17,17,0.31599999999980355,232
Empirical,cmg_ThomasAM_2019_crc,3,2,Coda-LASSO,0.535,132,1,11.309000000000196,232
Empirical,cmg_ThomasAM_2019_crc,3,2,DCV-ridgeRegression,0.5525,44,150,NA,232
Empirical,cmg_ThomasAM_2019_crc,3,2,DCV-ridgeEnsemble,0.4625,44,150,NA,232
Empirical,cmg_ThomasAM_2019_crc,3,2,DCV-rfRFE,0.4675,35,77,NA,232
Empirical,cmg_ThomasAM_2019_crc,4,1,CLR-LASSO,0.49750000000000005,6,6,0.32299999999941065,217
Empirical,cmg_ThomasAM_2019_crc,4,1,Coda-LASSO,0.495,150,1,9.996000000000095,217
Empirical,cmg_ThomasAM_2019_crc,4,2,DCV-ridgeRegression,0.54,82,288,NA,217
Empirical,cmg_ThomasAM_2019_crc,4,2,DCV-ridgeEnsemble,0.5975,82,288,NA,217
Empirical,cmg_ThomasAM_2019_crc,4,2,DCV-rfRFE,0.5625,76,197,NA,217
Empirical,cmg_ThomasAM_2019_crc,4,2,CLR-LASSO,0.5575,3,3,0.3149999999995998,248
Empirical,cmg_ThomasAM_2019_crc,4,2,Coda-LASSO,0.5425000000000001,224,1,6.863999999999578,248
Empirical,cmg_ThomasAM_2019_crc,4,2,DCV-ridgeRegression,0.59,186,888,NA,248
Empirical,cmg_ThomasAM_2019_crc,4,2,DCV-ridgeEnsemble,0.6375,186,888,NA,248
Empirical,cmg_ThomasAM_2019_crc,4,2,DCV-rfRFE,0.67,151,335,NA,248
Empirical,cmg_ThomasAM_2019_crc,5,1,CLR-LASSO,0.7999999999999999,4,4,0.3169999999990978,237
Empirical,cmg_ThomasAM_2019_crc,5,1,Coda-LASSO,0.75,215,1,8.983000000000175,237
Empirical,cmg_ThomasAM_2019_crc,5,2,DCV-ridgeRegression,0.82,178,1464,NA,237
Empirical,cmg_ThomasAM_2019_crc,5,2,DCV-ridgeEnsemble,0.8225,178,1464,NA,237
Empirical,cmg_ThomasAM_2019_crc,5,2,DCV-rfRFE,0.83,174,1002,NA,237
Empirical,cmg_ThomasAM_2019_crc,5,2,CLR-LASSO,0.84,7,7,0.330999999998312,237
Empirical,cmg_ThomasAM_2019_crc,5,2,Coda-LASSO,0.7175,180,1,12.145000000000437,237
Empirical,cmg_ThomasAM_2019_crc,5,2,DCV-ridgeRegression,0.77,178,1823,NA,237
Empirical,cmg_ThomasAM_2019_crc,5,2,DCV-ridgeEnsemble,0.7825,178,1823,NA,237
Empirical,cmg_ThomasAM_2019_crc,5,2,DCV-rfRFE,0.795,177,1537,NA,237
