Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_WirbelJ-2018_crc,1,1,CLR-LASSO,0.793939393939394,8,8,19.067999999999998,228
Empirical,cmg_WirbelJ-2018_crc,1,1,Coda-LASSO,0.7797979797979798,139,1,26.473,228
Empirical,cmg_WirbelJ-2018_crc,1,2,DCV-ridgeRegression,0.8434343434343434,86,598,NA,228
Empirical,cmg_WirbelJ-2018_crc,1,2,DCV-ridgeEnsemble,0.8454545454545455,86,598,NA,228
Empirical,cmg_WirbelJ-2018_crc,1,2,DCV-rfRFE,0.8464646464646465,83,458,NA,228
Empirical,cmg_WirbelJ-2018_crc,1,2,CLR-LASSO,0.765625,16,16,0.3529999999998381,223
Empirical,cmg_WirbelJ-2018_crc,1,2,Coda-LASSO,0.7552083333333334,212,1,22.176999999999907,223
Empirical,cmg_WirbelJ-2018_crc,1,2,DCV-ridgeRegression,0.8489583333333334,84,413,NA,223
Empirical,cmg_WirbelJ-2018_crc,1,2,DCV-ridgeEnsemble,0.8635416666666667,84,413,NA,223
Empirical,cmg_WirbelJ-2018_crc,1,2,DCV-rfRFE,0.86875,65,155,NA,223
Empirical,cmg_WirbelJ-2018_crc,2,1,CLR-LASSO,0.7454545454545455,2,2,0.3550000000000182,220
Empirical,cmg_WirbelJ-2018_crc,2,1,Coda-LASSO,0.694949494949495,167,1,27.632000000000062,220
Empirical,cmg_WirbelJ-2018_crc,2,2,DCV-ridgeRegression,0.8838383838383839,83,515,NA,220
Empirical,cmg_WirbelJ-2018_crc,2,2,DCV-ridgeEnsemble,0.8767676767676769,83,515,NA,220
Empirical,cmg_WirbelJ-2018_crc,2,2,DCV-rfRFE,0.8868686868686869,62,154,NA,220
Empirical,cmg_WirbelJ-2018_crc,2,2,CLR-LASSO,0.821875,21,21,0.2450000000003456,227
Empirical,cmg_WirbelJ-2018_crc,2,2,Coda-LASSO,0.7817708333333334,176,1,9.986999999999625,227
Empirical,cmg_WirbelJ-2018_crc,2,2,DCV-ridgeRegression,0.8364583333333333,170,789,NA,227
Empirical,cmg_WirbelJ-2018_crc,2,2,DCV-ridgeEnsemble,0.8552083333333333,170,789,NA,227
Empirical,cmg_WirbelJ-2018_crc,2,2,DCV-rfRFE,0.8541666666666667,150,544,NA,227
