Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_YuJ_2015_crc,1,1,CLR-LASSO,0.7707707707707708,2,2,19.614,253
Empirical,cmg_YuJ_2015_crc,1,1,Coda-LASSO,0.8408408408408408,204,1,19.872,253
Empirical,cmg_YuJ_2015_crc,1,2,DCV-ridgeRegression,0.9259259259259259,48,166,NA,253
Empirical,cmg_YuJ_2015_crc,1,2,DCV-ridgeEnsemble,0.923923923923924,48,166,NA,253
Empirical,cmg_YuJ_2015_crc,1,2,DCV-rfRFE,0.9119119119119119,43,76,NA,253
Empirical,cmg_YuJ_2015_crc,1,2,CLR-LASSO,0.7439271255060729,30,30,0.3830000000000382,247
Empirical,cmg_YuJ_2015_crc,1,2,Coda-LASSO,0.6503036437246963,188,1,26.25,247
Empirical,cmg_YuJ_2015_crc,1,2,DCV-ridgeRegression,0.7611336032388664,93,500,NA,247
Empirical,cmg_YuJ_2015_crc,1,2,DCV-ridgeEnsemble,0.7672064777327935,93,500,NA,247
Empirical,cmg_YuJ_2015_crc,1,2,DCV-rfRFE,0.7763157894736842,69,189,NA,247
Empirical,cmg_YuJ_2015_crc,2,1,CLR-LASSO,0.7077077077077077,9,9,0.38599999999996726,252
Empirical,cmg_YuJ_2015_crc,2,1,Coda-LASSO,0.8118118118118118,132,1,30.208000000000084,252
Empirical,cmg_YuJ_2015_crc,2,2,DCV-ridgeRegression,0.8248248248248248,189,875,NA,252
Empirical,cmg_YuJ_2015_crc,2,2,DCV-ridgeEnsemble,0.8178178178178178,189,875,NA,252
Empirical,cmg_YuJ_2015_crc,2,2,DCV-rfRFE,0.8198198198198198,184,669,NA,252
Empirical,cmg_YuJ_2015_crc,2,2,CLR-LASSO,0.7904858299595141,6,6,0.38999999999987267,248
Empirical,cmg_YuJ_2015_crc,2,2,Coda-LASSO,0.8522267206477733,114,1,18.057999999999993,248
Empirical,cmg_YuJ_2015_crc,2,2,DCV-ridgeRegression,0.861336032388664,186,1269,NA,248
Empirical,cmg_YuJ_2015_crc,2,2,DCV-ridgeEnsemble,0.8755060728744939,186,1269,NA,248
Empirical,cmg_YuJ_2015_crc,2,2,DCV-rfRFE,0.8674089068825912,150,381,NA,248
Empirical,cmg_YuJ_2015_crc,3,1,CLR-LASSO,0.8188188188188188,30,30,0.4029999999993379,249
Empirical,cmg_YuJ_2015_crc,3,1,Coda-LASSO,0.7267267267267268,116,1,22.594999999999345,249
Empirical,cmg_YuJ_2015_crc,3,2,DCV-ridgeRegression,0.8578578578578578,140,859,NA,249
Empirical,cmg_YuJ_2015_crc,3,2,DCV-ridgeEnsemble,0.8538538538538538,140,859,NA,249
Empirical,cmg_YuJ_2015_crc,3,2,DCV-rfRFE,0.8428428428428428,100,258,NA,249
Empirical,cmg_YuJ_2015_crc,3,2,CLR-LASSO,0.8431174089068826,6,6,0.25200000000040745,252
Empirical,cmg_YuJ_2015_crc,3,2,Coda-LASSO,0.8248987854251012,88,1,14.13799999999992,252
Empirical,cmg_YuJ_2015_crc,3,2,DCV-ridgeRegression,0.861336032388664,189,1259,NA,252
Empirical,cmg_YuJ_2015_crc,3,2,DCV-ridgeEnsemble,0.8734817813765182,189,1259,NA,252
Empirical,cmg_YuJ_2015_crc,3,2,DCV-rfRFE,0.8724696356275303,184,867,NA,252
Empirical,cmg_YuJ_2015_crc,4,1,CLR-LASSO,0.8253638253638254,27,27,0.23700000000008004,237
Empirical,cmg_YuJ_2015_crc,4,1,Coda-LASSO,0.816008316008316,180,1,10.807000000000698,237
Empirical,cmg_YuJ_2015_crc,4,2,DCV-ridgeRegression,0.8347193347193348,45,161,NA,237
Empirical,cmg_YuJ_2015_crc,4,2,DCV-ridgeEnsemble,0.8555093555093556,45,161,NA,237
Empirical,cmg_YuJ_2015_crc,4,2,DCV-rfRFE,0.8440748440748441,25,48,NA,237
Empirical,cmg_YuJ_2015_crc,4,2,CLR-LASSO,0.7738791423001949,2,2,0.3929999999991196,249
Empirical,cmg_YuJ_2015_crc,4,2,Coda-LASSO,0.8167641325536062,205,1,27.90099999999984,249
Empirical,cmg_YuJ_2015_crc,4,2,DCV-ridgeRegression,0.8538011695906432,140,852,NA,249
Empirical,cmg_YuJ_2015_crc,4,2,DCV-ridgeEnsemble,0.8440545808966862,140,852,NA,249
Empirical,cmg_YuJ_2015_crc,4,2,DCV-rfRFE,0.8265107212475633,121,387,NA,249
Empirical,cmg_YuJ_2015_crc,5,1,CLR-LASSO,0.7338877338877339,28,28,0.37300000000141154,236
Empirical,cmg_YuJ_2015_crc,5,1,Coda-LASSO,0.7926195426195426,168,1,21.6929999999993,236
Empirical,cmg_YuJ_2015_crc,5,2,DCV-ridgeRegression,0.7952182952182952,177,1300,NA,236
Empirical,cmg_YuJ_2015_crc,5,2,DCV-ridgeEnsemble,0.7900207900207901,177,1300,NA,236
Empirical,cmg_YuJ_2015_crc,5,2,DCV-rfRFE,0.7910602910602911,166,591,NA,236
Empirical,cmg_YuJ_2015_crc,5,2,CLR-LASSO,0.7748538011695906,27,27,0.36900000000059663,245
Empirical,cmg_YuJ_2015_crc,5,2,Coda-LASSO,0.8167641325536061,106,1,13.720999999999549,245
Empirical,cmg_YuJ_2015_crc,5,2,DCV-ridgeRegression,0.8187134502923976,184,1012,NA,245
Empirical,cmg_YuJ_2015_crc,5,2,DCV-ridgeEnsemble,0.8235867446393762,184,1012,NA,245
Empirical,cmg_YuJ_2015_crc,5,2,DCV-rfRFE,0.8196881091617934,179,619,NA,245
