Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_ZVogtmannE_2016_crc,1,1,CLR-LASSO,0.4815384615384616,21,21,19.392000000000003,247
Empirical,cmg_ZVogtmannE_2016_crc,1,1,Coda-LASSO,0.5746153846153846,222,1,16.254999999999995,247
Empirical,cmg_ZVogtmannE_2016_crc,1,2,DCV-ridgeRegression,0.5892307692307692,139,675,NA,247
Empirical,cmg_ZVogtmannE_2016_crc,1,2,DCV-ridgeEnsemble,0.5800000000000001,139,675,NA,247
Empirical,cmg_ZVogtmannE_2016_crc,1,2,DCV-rfRFE,0.583076923076923,139,675,NA,247
Empirical,cmg_ZVogtmannE_2016_crc,1,2,CLR-LASSO,0.6464497041420119,18,18,0.3389999999999418,257
Empirical,cmg_ZVogtmannE_2016_crc,1,2,Coda-LASSO,0.636094674556213,238,1,20.833000000000084,257
Empirical,cmg_ZVogtmannE_2016_crc,1,2,DCV-ridgeRegression,0.6568047337278107,145,939,NA,257
Empirical,cmg_ZVogtmannE_2016_crc,1,2,DCV-ridgeEnsemble,0.6686390532544378,145,939,NA,257
Empirical,cmg_ZVogtmannE_2016_crc,1,2,DCV-rfRFE,0.6612426035502958,117,280,NA,257
Empirical,cmg_ZVogtmannE_2016_crc,2,1,CLR-LASSO,0.576923076923077,2,2,0.36599999999998545,250
Empirical,cmg_ZVogtmannE_2016_crc,2,1,Coda-LASSO,0.6615384615384616,201,1,17.83100000000013,250
Empirical,cmg_ZVogtmannE_2016_crc,2,2,DCV-ridgeRegression,0.7261538461538461,188,1205,NA,250
Empirical,cmg_ZVogtmannE_2016_crc,2,2,DCV-ridgeEnsemble,0.7230769230769231,188,1205,NA,250
Empirical,cmg_ZVogtmannE_2016_crc,2,2,DCV-rfRFE,0.6784615384615384,155,454,NA,250
Empirical,cmg_ZVogtmannE_2016_crc,2,2,CLR-LASSO,0.5,0,0,0.3829999999998108,251
Empirical,cmg_ZVogtmannE_2016_crc,2,2,Coda-LASSO,0.5961538461538461,232,1,20.608999999999924,251
Empirical,cmg_ZVogtmannE_2016_crc,2,2,DCV-ridgeRegression,0.6420118343195266,94,411,NA,251
Empirical,cmg_ZVogtmannE_2016_crc,2,2,DCV-ridgeEnsemble,0.6346153846153846,94,411,NA,251
Empirical,cmg_ZVogtmannE_2016_crc,2,2,DCV-rfRFE,0.6050295857988166,64,123,NA,251
Empirical,cmg_ZVogtmannE_2016_crc,3,1,CLR-LASSO,0.4784615384615385,3,3,0.3669999999992797,257
Empirical,cmg_ZVogtmannE_2016_crc,3,1,Coda-LASSO,0.5153846153846153,176,1,19.21900000000005,257
Empirical,cmg_ZVogtmannE_2016_crc,3,2,DCV-ridgeRegression,0.56,145,1201,NA,257
Empirical,cmg_ZVogtmannE_2016_crc,3,2,DCV-ridgeEnsemble,0.5415384615384615,145,1201,NA,257
Empirical,cmg_ZVogtmannE_2016_crc,3,2,DCV-rfRFE,0.5353846153846153,129,360,NA,257
Empirical,cmg_ZVogtmannE_2016_crc,3,2,CLR-LASSO,0.5325443786982249,6,6,0.23799999999937427,251
