Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Empirical,cmg_ZellerG_2014_crc,1,1,CLR-LASSO,0.7205128205128205,22,22,20.166,265
Empirical,cmg_ZellerG_2014_crc,1,1,Coda-LASSO,0.7064102564102563,223,1,12.830000000000005,265
Empirical,cmg_ZellerG_2014_crc,1,2,DCV-ridgeRegression,0.7615384615384615,100,527,NA,265
Empirical,cmg_ZellerG_2014_crc,1,2,DCV-ridgeEnsemble,0.7935897435897437,100,527,NA,265
Empirical,cmg_ZellerG_2014_crc,1,2,DCV-rfRFE,0.8128205128205128,88,281,NA,265
Empirical,cmg_ZellerG_2014_crc,1,2,CLR-LASSO,0.7974358974358975,9,9,0.3849999999999909,269
Empirical,cmg_ZellerG_2014_crc,1,2,Coda-LASSO,0.7371794871794872,203,1,25.891999999999825,269
Empirical,cmg_ZellerG_2014_crc,1,2,DCV-ridgeRegression,0.841025641025641,102,556,NA,269
Empirical,cmg_ZellerG_2014_crc,1,2,DCV-ridgeEnsemble,0.8397435897435898,102,556,NA,269
Empirical,cmg_ZellerG_2014_crc,1,2,DCV-rfRFE,0.8102564102564103,71,210,NA,269
Empirical,cmg_ZellerG_2014_crc,2,1,CLR-LASSO,0.7525641025641026,24,24,0.3510000000001128,265
Empirical,cmg_ZellerG_2014_crc,2,1,Coda-LASSO,0.675,241,1,15.93899999999985,265
Empirical,cmg_ZellerG_2014_crc,2,2,DCV-ridgeRegression,0.8474358974358974,100,573,NA,265
Empirical,cmg_ZellerG_2014_crc,2,2,DCV-ridgeEnsemble,0.8551282051282051,100,573,NA,265
Empirical,cmg_ZellerG_2014_crc,2,2,DCV-rfRFE,0.8423076923076923,99,435,NA,265
Empirical,cmg_ZellerG_2014_crc,2,2,CLR-LASSO,0.735897435897436,12,12,0.24900000000025102,267
Empirical,cmg_ZellerG_2014_crc,2,2,Coda-LASSO,0.7044871794871795,95,1,15.369000000000142,267
Empirical,cmg_ZellerG_2014_crc,2,2,DCV-ridgeRegression,0.7923076923076923,100,668,NA,267
Empirical,cmg_ZellerG_2014_crc,2,2,DCV-ridgeEnsemble,0.7897435897435897,100,668,NA,267
Empirical,cmg_ZellerG_2014_crc,2,2,DCV-rfRFE,0.7833333333333333,95,512,NA,267
Empirical,cmg_ZellerG_2014_crc,3,1,CLR-LASSO,0.6974358974358974,22,22,0.24700000000029831,261
Empirical,cmg_ZellerG_2014_crc,3,1,Coda-LASSO,0.6602564102564102,200,1,9.235999999999876,261
Empirical,cmg_ZellerG_2014_crc,3,2,DCV-ridgeRegression,0.7756410256410257,50,210,NA,261
Empirical,cmg_ZellerG_2014_crc,3,2,DCV-ridgeEnsemble,0.7794871794871795,50,210,NA,261
Empirical,cmg_ZellerG_2014_crc,3,2,DCV-rfRFE,0.7397435897435898,39,79,NA,261
Empirical,cmg_ZellerG_2014_crc,3,2,CLR-LASSO,0.7038461538461539,17,17,0.2529999999997017,263
Empirical,cmg_ZellerG_2014_crc,3,2,Coda-LASSO,0.7705128205128204,192,1,15.96100000000024,263
Empirical,cmg_ZellerG_2014_crc,3,2,DCV-ridgeRegression,0.7923076923076923,50,157,NA,263
Empirical,cmg_ZellerG_2014_crc,3,2,DCV-ridgeEnsemble,0.7833333333333333,50,157,NA,263
Empirical,cmg_ZellerG_2014_crc,3,2,DCV-rfRFE,0.7897435897435897,50,157,NA,263
Empirical,cmg_ZellerG_2014_crc,4,1,CLR-LASSO,0.7692307692307693,22,22,0.24399999999968713,260
Empirical,cmg_ZellerG_2014_crc,4,1,Coda-LASSO,0.7371794871794871,216,1,7.162999999999556,260
Empirical,cmg_ZellerG_2014_crc,4,2,DCV-ridgeRegression,0.7769230769230769,195,1654,NA,260
Empirical,cmg_ZellerG_2014_crc,4,2,DCV-ridgeEnsemble,0.8064102564102564,195,1654,NA,260
Empirical,cmg_ZellerG_2014_crc,4,2,DCV-rfRFE,0.8025641025641026,193,1139,NA,260
Empirical,cmg_ZellerG_2014_crc,4,2,CLR-LASSO,0.8269230769230769,7,7,0.2429999999994834,270
Empirical,cmg_ZellerG_2014_crc,4,2,Coda-LASSO,0.8506410256410256,205,1,9.5,270
Empirical,cmg_ZellerG_2014_crc,4,2,DCV-ridgeRegression,0.8884615384615384,51,273,NA,270
Empirical,cmg_ZellerG_2014_crc,4,2,DCV-ridgeEnsemble,0.8897435897435898,51,273,NA,270
Empirical,cmg_ZellerG_2014_crc,4,2,DCV-rfRFE,0.891025641025641,51,231,NA,270
Empirical,cmg_ZellerG_2014_crc,5,1,CLR-LASSO,0.7243589743589743,34,34,0.24399999999968713,264
Empirical,cmg_ZellerG_2014_crc,5,1,Coda-LASSO,0.7301282051282051,236,1,9.368999999999687,264
Empirical,cmg_ZellerG_2014_crc,5,2,DCV-ridgeRegression,0.7897435897435897,100,748,NA,264
Empirical,cmg_ZellerG_2014_crc,5,2,DCV-ridgeEnsemble,0.7910256410256411,100,748,NA,264
Empirical,cmg_ZellerG_2014_crc,5,2,DCV-rfRFE,0.7987179487179488,86,281,NA,264
Empirical,cmg_ZellerG_2014_crc,5,2,CLR-LASSO,0.8653846153846154,32,32,0.25,275
Empirical,cmg_ZellerG_2014_crc,5,2,Coda-LASSO,0.7128205128205127,121,1,14.625,275
Empirical,cmg_ZellerG_2014_crc,5,2,DCV-ridgeRegression,0.8666666666666667,52,179,NA,275
Empirical,cmg_ZellerG_2014_crc,5,2,DCV-ridgeEnsemble,0.8782051282051282,52,179,NA,275
Empirical,cmg_ZellerG_2014_crc,5,2,DCV-rfRFE,0.8666666666666667,49,137,NA,275
