Scenario,data_type,Dataset,Seed,Fold,number_parts,number_ratios,comp_time,base_dims,Approach,MCC,AUC,AUC.UC_CD,AUC.nonIBD_UC,AUC.nonIBD_CD
Empirical,proteomics,ihmp-multiomics_seed16_fold2,16,2,208,2984,NA,278,ridgeRegression,0.3206225555072716,0.4833333333333334,0.5604395604395604,0.5428571428571428,0.5
Empirical,proteomics,ihmp-multiomics_seed16_fold2,16,2,208,2374,NA,278,ridgeEnsemble,0.339542415512435,0.4666666666666666,0.5714285714285714,0.6142857142857142,0.5153846153846154
Empirical,proteomics,ihmp-multiomics_seed16_fold2,16,2,203,1544,NA,278,rfRFE,0.2758439128617931,0.4818681318681318,0.5604395604395604,0.5428571428571428,0.4846153846153846
Empirical,HILIC-neg,ihmp-multiomics_seed16_fold2,16,2,44,287,NA,114,ridgeRegression,0.4089215062527509,0.6677655677655677,0.4945054945054945,0.8285714285714285,0.576923076923077
Empirical,HILIC-neg,ihmp-multiomics_seed16_fold2,16,2,43,225,NA,114,ridgeEnsemble,0.4249713205992576,0.6703296703296703,0.4835164835164835,0.8857142857142857,0.5307692307692308
Empirical,HILIC-neg,ihmp-multiomics_seed16_fold2,16,2,43,108,NA,114,rfRFE,0.4469502365574571,0.6738095238095237,0.45054945054945056,0.8857142857142857,0.5461538461538462
Empirical,HILIC-pos,ihmp-multiomics_seed16_fold2,16,2,131,794,NA,175,ridgeRegression,0.5089920571164758,0.4967032967032967,0.7362637362637363,0.5714285714285714,0.4615384615384615
Empirical,HILIC-pos,ihmp-multiomics_seed16_fold2,16,2,129,635,NA,175,ridgeEnsemble,0.5769452311065988,0.6144688644688644,0.7142857142857143,0.9142857142857143,0.4230769230769231
Empirical,HILIC-pos,ihmp-multiomics_seed16_fold2,16,2,118,292,NA,175,rfRFE,0.6188092218938962,0.6128205128205128,0.7142857142857143,0.8999999999999999,0.4230769230769231
Empirical,mgxFunctions,ihmp-multiomics_seed16_fold2,16,2,203,1128,NA,360,ridgeRegression,0.44321882488933995,0.43021978021978013,0.6263736263736264,0.6142857142857143,0.5461538461538462
Empirical,mgxFunctions,ihmp-multiomics_seed16_fold2,16,2,201,878,NA,360,ridgeEnsemble,0.43850444762610247,0.4029304029304029,0.6703296703296704,0.6142857142857143,0.6230769230769231
Empirical,mgxFunctions,ihmp-multiomics_seed16_fold2,16,2,145,332,NA,360,rfRFE,0.5105116992841632,0.3831501831501831,0.6813186813186813,0.6428571428571428,0.6384615384615385
Empirical,metatranscriptomics,ihmp-multiomics_seed16_fold2,16,2,88,663,NA,234,ridgeRegression,0.4097178191194433,0.471062271062271,0.5604395604395604,0.6142857142857142,0.46153846153846156
Empirical,metatranscriptomics,ihmp-multiomics_seed16_fold2,16,2,88,516,NA,234,ridgeEnsemble,0.3899327054421709,0.4655677655677655,0.5274725274725275,0.6142857142857142,0.4846153846153846
Empirical,metatranscriptomics,ihmp-multiomics_seed16_fold2,16,2,82,208,NA,234,rfRFE,0.3416686680909359,0.45989010989010987,0.5054945054945055,0.6428571428571429,0.5
Empirical,mgxTaxonomy,ihmp-multiomics_seed16_fold2,16,2,96,761,NA,128,ridgeRegression,0.34604451057792834,0.5844322344322344,0.5604395604395604,0.7285714285714285,0.5153846153846154
Empirical,mgxTaxonomy,ihmp-multiomics_seed16_fold2,16,2,95,601,NA,128,ridgeEnsemble,0.38427990895618147,0.5626373626373626,0.4725274725274725,0.7285714285714285,0.5615384615384615
Empirical,mgxTaxonomy,ihmp-multiomics_seed16_fold2,16,2,83,287,NA,128,rfRFE,0.36153817554752266,0.5463369963369963,0.5494505494505495,0.7,0.5538461538461539
Empirical,integrated-penRegression,ihmp-multiomics_seed16_fold2,16,2,823,2658,NA,2771,penRegression,0.44027455670576193,0.4948717948717948,0.6923076923076923,0.4857142857142857,0.5615384615384615
Empirical,integrated-rfe,ihmp-multiomics_seed16_fold2,16,2,658,1262,NA,2771,rfe,0.536176407173358,0.5831501831501831,0.7142857142857143,0.8857142857142857,0.5923076923076923
