Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,feat_set
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR/PLR_glmnet4,0.8302945301542777,0.602020202020202,5,4,22.413999999999987,279,1
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR/PLR_pls2,0.8485273492286115,0.6063131313131314,5,4,22.413999999999987,279,1
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR/PLR_ranger1,0.8022440392706872,0.6381313131313131,5,4,22.413999999999987,279,1
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR/PLR_rangerE5,0.8429172510518934,0.6454545454545455,5,4,22.413999999999987,279,1
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR/PLR_svmRadial3,0.8597475455820477,0.6401515151515151,5,4,22.413999999999987,279,1
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR/PLR_DCV-ridgeRegression,0.820476858345021,0.6111111111111112,5,4,22.413999999999987,279,1
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR/PLR_DCV-ridgeEnsemble,0.8485273492286115,0.6345959595959596,5,4,22.413999999999987,279,1
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR/PLR_ALR/PLR_DCV,0.8485273492286115,0.6345959595959596,5,4,22.413999999999987,279,1
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR_glmnet4,0.8302945301542777,0.6191919191919193,5,4,22.288999999999987,279,1
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR_pls2,0.8485273492286115,0.6068181818181819,5,4,22.288999999999987,279,1
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR_ranger1,0.8022440392706872,0.5381313131313131,5,4,22.288999999999987,279,1
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR_rangerE5,0.8309957924263675,0.6436868686868686,5,4,22.288999999999987,279,1
Empirical,cmg_FengQ-2015_crc_seed3_featSize1,3,1,ALR_svmRadial3,0.8597475455820477,0.6487373737373737,5,4,22.288999999999987,279,1
