Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,feat_set
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR/PLR_glmnet4,0.9289617486338797,0.9267042745908152,95,2095,162.373,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR/PLR_pls2,0.9168823698590739,0.9379866518353727,95,2095,162.373,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR/PLR_ranger1,0.9358642507909117,0.9417010964563801,95,2095,162.373,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR/PLR_rangerE5,0.9367270635605407,0.9356030510090576,95,2095,162.373,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR/PLR_svmRadial3,0.9332758124820246,0.9304584458922612,95,2095,162.373,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR/PLR_DCV-ridgeRegression,0.9410411274086856,0.9365962180200222,95,2095,162.373,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR/PLR_DCV-ridgeEnsemble,0.9387402933563417,0.9422374066423009,95,2095,162.373,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR/PLR_ALR/PLR_DCV,0.9387402933563417,0.9422374066423009,95,2095,162.373,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR_glmnet4,0.9393155018694276,0.8940886699507389,95,94,45.05799999999999,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR_pls2,0.9413287316652286,0.93385507706976,95,94,45.05799999999999,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR_ranger1,0.9141501294219154,0.9361790878754171,95,94,45.05799999999999,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR_rangerE5,0.9283865401207938,0.9339742571110758,95,94,45.05799999999999,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR_svmRadial3,0.9249352890422777,0.9282138884474813,95,94,45.05799999999999,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR_DCV-ridgeRegression,0.9436295657175726,0.9145677737168283,95,94,45.05799999999999,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR_DCV-ridgeEnsemble,0.9350014380212827,0.9338153503893214,95,94,45.05799999999999,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,ALR_ALR_DCV,0.9350014380212827,0.9338153503893214,95,94,45.05799999999999,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,PLR_glmnet4,0.9350014380212827,0.9336564436675672,95,2125,177.01400000000012,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,PLR_pls2,0.9237848720161057,0.9379270618147149,95,2125,177.01400000000012,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,PLR_ranger1,0.9347138337647397,0.9411051962498014,95,2125,177.01400000000012,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,PLR_rangerE5,0.9401783146390567,0.9374304783092324,95,2125,177.01400000000012,217,5
Empirical,cmg_QinN-2014_cirr_seed4_featSize2,4,1,PLR_svmRadial3,0.9355766465343687,0.9371722548863817,95,2125,177.01400000000012,217,5
