Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,feat_set
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_glmnet4,0.8686868686868687,0.7166666666666666,96,1652,108.46500000000003,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_pls2,0.8282828282828283,0.70625,96,1652,108.46500000000003,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_ranger1,0.8939393939393939,0.81875,96,1652,108.46500000000003,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_rangerE5,0.9080808080808082,0.7739583333333333,96,1652,108.46500000000003,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_svmRadial3,0.8777777777777778,0.7541666666666667,96,1652,108.46500000000003,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_DCV-ridgeRegression,0.8515151515151516,0.75,96,1652,108.46500000000003,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_DCV-ridgeEnsemble,0.9030303030303031,0.7541666666666667,96,1652,108.46500000000003,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_ALR/PLR_DCV,0.9030303030303031,0.7541666666666667,96,1652,108.46500000000003,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR_glmnet4,0.8202020202020203,0.8166666666666667,96,95,40.98399999999998,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR_pls2,0.8010101010101011,0.7625,96,95,40.98399999999998,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR_ranger1,0.8045454545454546,0.8333333333333334,96,95,40.98399999999998,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR_rangerE5,0.8560606060606061,0.8739583333333334,96,95,40.98399999999998,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR_svmRadial3,0.8424242424242424,0.8645833333333333,96,95,40.98399999999998,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR_DCV-ridgeRegression,0.8242424242424242,0.8520833333333333,96,95,40.98399999999998,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR_DCV-ridgeEnsemble,0.8474747474747475,0.8458333333333333,96,95,40.98399999999998,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR_ALR_DCV,0.8242424242424242,0.8520833333333333,96,95,40.98399999999998,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,PLR_glmnet4,0.8090909090909091,0.7229166666666667,96,1913,132.188,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,PLR_pls2,0.8474747474747475,0.7145833333333333,96,1913,132.188,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,PLR_ranger1,0.8727272727272728,0.79375,96,1913,132.188,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,PLR_rangerE5,0.8944444444444445,0.79375,96,1913,132.188,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,PLR_svmRadial3,0.8525252525252526,0.7583333333333333,96,1913,132.188,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,PLR_DCV-ridgeRegression,0.8505050505050505,0.7437499999999999,96,1913,132.188,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,PLR_DCV-ridgeEnsemble,0.8585858585858586,0.7520833333333333,96,1913,132.188,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,PLR_PLR_DCV,0.8585858585858586,0.7520833333333333,96,1913,132.188,220,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR/PLR_glmnet4,0.8291666666666667,0.8383578431372549,96,1732,112.7059999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR/PLR_pls2,0.76875,0.8600490196078432,96,1732,112.7059999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR/PLR_ranger1,0.8739583333333334,0.9041666666666667,96,1732,112.7059999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR/PLR_rangerE5,0.90625,0.8915441176470589,96,1732,112.7059999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR/PLR_svmRadial3,0.85,0.8879901960784313,96,1732,112.7059999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR/PLR_DCV-ridgeRegression,0.7760416666666666,0.8761029411764706,96,1732,112.7059999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR/PLR_DCV-ridgeEnsemble,0.8625,0.884313725490196,96,1732,112.7059999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR/PLR_ALR/PLR_DCV,0.8625,0.884313725490196,96,1732,112.7059999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR_glmnet4,0.8510416666666667,0.8104166666666666,96,95,42.22000000000003,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR_pls2,0.81875,0.8189950980392157,96,95,42.22000000000003,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR_ranger1,0.8369791666666667,0.7865808823529412,96,95,42.22000000000003,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR_rangerE5,0.8630208333333333,0.8341911764705883,96,95,42.22000000000003,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR_svmRadial3,0.85,0.8300245098039216,96,95,42.22000000000003,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR_DCV-ridgeRegression,0.846875,0.7974264705882352,96,95,42.22000000000003,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR_DCV-ridgeEnsemble,0.8635416666666667,0.8183823529411764,96,95,42.22000000000003,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,ALR_ALR_DCV,0.8635416666666667,0.8183823529411764,96,95,42.22000000000003,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,PLR_glmnet4,0.80625,0.7990196078431373,96,1885,131.1199999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,PLR_pls2,0.8135416666666667,0.8427696078431373,96,1885,131.1199999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,PLR_ranger1,0.8765625,0.884313725490196,96,1885,131.1199999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,PLR_rangerE5,0.875,0.8856617647058823,96,1885,131.1199999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,PLR_svmRadial3,0.846875,0.8611519607843137,96,1885,131.1199999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,PLR_DCV-ridgeRegression,0.8229166666666666,0.8468137254901961,96,1885,131.1199999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,PLR_DCV-ridgeEnsemble,0.8458333333333333,0.8594362745098039,96,1885,131.1199999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,2,PLR_PLR_DCV,0.8458333333333333,0.8594362745098039,96,1885,131.1199999999999,227,5
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_glmnet4,0.795959595959596,0.70625,119,2663,158.51499999999987,220,6
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_pls2,0.8454545454545455,0.6875,119,2663,158.51499999999987,220,6
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_ranger1,0.8828282828282829,0.809375,119,2663,158.51499999999987,220,6
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_rangerE5,0.9060606060606061,0.8041666666666667,119,2663,158.51499999999987,220,6
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_svmRadial3,0.8515151515151516,0.7666666666666666,119,2663,158.51499999999987,220,6
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_DCV-ridgeRegression,0.8434343434343434,0.7479166666666666,119,2663,158.51499999999987,220,6
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_DCV-ridgeEnsemble,0.8787878787878788,0.7562500000000001,119,2663,158.51499999999987,220,6
Empirical,cmg_WirbelJ-2018_crc_seed2_featSize2,2,1,ALR/PLR_ALR/PLR_DCV,0.8787878787878788,0.7562500000000001,119,2663,158.51499999999987,220,6
