Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,feat_set
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_glmnet4,0.5384615384615384,0.5307692307692308,5,4,19.626999999999995,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_pls2,0.5435897435897435,0.5333333333333333,5,4,19.626999999999995,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_ranger1,0.5384615384615384,0.6115384615384616,5,4,19.626999999999995,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_rangerE5,0.5397435897435897,0.5551282051282052,5,4,19.626999999999995,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_svmRadial3,0.5153846153846153,0.49743589743589745,5,4,19.626999999999995,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_DCV-ridgeRegression,0.5346153846153846,0.5282051282051282,5,4,19.626999999999995,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_DCV-ridgeEnsemble,0.5423076923076923,0.47179487179487184,5,4,19.626999999999995,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_ALR/PLR_DCV,0.5346153846153846,0.5282051282051282,5,4,19.626999999999995,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR_glmnet4,0.5384615384615384,0.5256410256410257,5,4,19.90900000000002,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR_pls2,0.5435897435897435,0.5230769230769231,5,4,19.90900000000002,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR_ranger1,0.5423076923076923,0.5576923076923077,5,4,19.90900000000002,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR_rangerE5,0.5512820512820513,0.5820512820512821,5,4,19.90900000000002,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR_svmRadial3,0.5153846153846153,0.49230769230769234,5,4,19.90900000000002,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR_DCV-ridgeRegression,0.5346153846153846,0.5179487179487179,5,4,19.90900000000002,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR_DCV-ridgeEnsemble,0.5474358974358974,0.4923076923076923,5,4,19.90900000000002,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR_ALR_DCV,0.5346153846153846,0.5179487179487179,5,4,19.90900000000002,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,PLR_glmnet4,0.8,0.49743589743589745,5,4,34.60300000000001,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,PLR_pls2,0.7102564102564103,0.4769230769230769,5,4,34.60300000000001,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,PLR_ranger1,0.8634615384615385,0.5551282051282052,5,4,34.60300000000001,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,PLR_rangerE5,0.8288461538461539,0.5230769230769231,5,4,34.60300000000001,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,PLR_svmRadial3,0.8871794871794872,0.5205128205128206,5,4,34.60300000000001,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,PLR_DCV-ridgeRegression,0.7935897435897437,0.4769230769230769,5,4,34.60300000000001,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,PLR_DCV-ridgeEnsemble,0.8692307692307693,0.4769230769230769,5,4,34.60300000000001,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,PLR_PLR_DCV,0.7935897435897437,0.4769230769230769,5,4,34.60300000000001,265,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR/PLR_glmnet4,0.657051282051282,0.6974358974358974,5,5,19.54200000000003,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR/PLR_pls2,0.6634615384615384,0.7,5,5,19.54200000000003,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR/PLR_ranger1,0.7532051282051282,0.6602564102564102,5,5,19.54200000000003,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR/PLR_rangerE5,0.7673076923076922,0.6935897435897436,5,5,19.54200000000003,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR/PLR_svmRadial3,0.783974358974359,0.6820512820512821,5,5,19.54200000000003,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR/PLR_DCV-ridgeRegression,0.6583333333333333,0.7153846153846154,5,5,19.54200000000003,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR/PLR_DCV-ridgeEnsemble,0.7147435897435898,0.717948717948718,5,5,19.54200000000003,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR/PLR_ALR/PLR_DCV,0.7147435897435898,0.717948717948718,5,5,19.54200000000003,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR_glmnet4,0.6583333333333333,0.7051282051282052,5,4,19.71199999999999,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR_pls2,0.6544871794871795,0.7102564102564103,5,4,19.71199999999999,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR_ranger1,0.7455128205128205,0.5820512820512821,5,4,19.71199999999999,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR_rangerE5,0.7801282051282051,0.6833333333333333,5,4,19.71199999999999,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR_svmRadial3,0.7903846153846155,0.717948717948718,5,4,19.71199999999999,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR_DCV-ridgeRegression,0.6762820512820513,0.7256410256410257,5,4,19.71199999999999,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR_DCV-ridgeEnsemble,0.7416666666666667,0.7102564102564103,5,4,19.71199999999999,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,ALR_ALR_DCV,0.6762820512820513,0.7256410256410257,5,4,19.71199999999999,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,PLR_glmnet4,0.6096153846153846,0.6858974358974359,5,5,34.60400000000004,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,PLR_pls2,0.607051282051282,0.6858974358974359,5,5,34.60400000000004,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,PLR_ranger1,0.6403846153846154,0.6858974358974359,5,5,34.60400000000004,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,PLR_rangerE5,0.6378205128205128,0.6987179487179487,5,5,34.60400000000004,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,PLR_svmRadial3,0.6403846153846153,0.6756410256410257,5,5,34.60400000000004,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,PLR_DCV-ridgeRegression,0.6057692307692307,0.6858974358974359,5,5,34.60400000000004,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,PLR_DCV-ridgeEnsemble,0.6326923076923077,0.7038461538461538,5,5,34.60400000000004,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,2,PLR_PLR_DCV,0.6326923076923077,0.7038461538461538,5,5,34.60400000000004,269,1
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_glmnet4,0.7051282051282052,0.5717948717948718,33,194,32.726,265,2
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_pls2,0.691025641025641,0.5256410256410257,33,194,32.726,265,2
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_ranger1,0.8423076923076923,0.5961538461538463,33,194,32.726,265,2
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_rangerE5,0.8326923076923077,0.5884615384615385,33,194,32.726,265,2
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_svmRadial3,0.8346153846153846,0.5615384615384615,33,194,32.726,265,2
Empirical,cmg_ZellerG_2014_crc_seed1_featSize1,1,1,ALR/PLR_DCV-ridgeRegression,0.7897435897435897,0.5794871794871794,33,194,32.726,265,2
