Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,feat_set
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR/PLR_glmnet4,0.6791327913279133,0.6386363636363637,5,5,16.044999999999995,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR/PLR_pls2,0.6764227642276422,0.6422924901185771,5,5,16.044999999999995,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR/PLR_ranger1,0.5894308943089431,0.6163043478260869,5,5,16.044999999999995,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR/PLR_rangerE5,0.6550135501355013,0.6629446640316206,5,5,16.044999999999995,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR/PLR_svmRadial3,0.5978319783197832,0.6556818181818181,5,5,16.044999999999995,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR/PLR_DCV-ridgeRegression,0.6802168021680217,0.6296442687747035,5,5,16.044999999999995,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR/PLR_DCV-ridgeEnsemble,0.6439024390243903,0.6452569169960474,5,5,16.044999999999995,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR/PLR_ALR/PLR_DCV,0.6439024390243903,0.6452569169960474,5,5,16.044999999999995,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR_glmnet4,0.6867208672086721,0.6581521739130435,5,4,16.769000000000005,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR_pls2,0.6845528455284553,0.6724308300395256,5,4,16.769000000000005,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR_ranger1,0.5815718157181572,0.6348073122529644,5,4,16.769000000000005,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR_rangerE5,0.6373983739837399,0.6209486166007905,5,4,16.769000000000005,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR_svmRadial3,0.6070460704607046,0.6627964426877471,5,4,16.769000000000005,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR_DCV-ridgeRegression,0.6867208672086721,0.6592885375494071,5,4,16.769000000000005,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR_DCV-ridgeEnsemble,0.6439024390243903,0.6434288537549406,5,4,16.769000000000005,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,ALR_ALR_DCV,0.6867208672086721,0.6592885375494071,5,4,16.769000000000005,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,PLR_glmnet4,0.6715447154471544,0.5542243083003953,5,6,24.444999999999993,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,PLR_pls2,0.6617886178861788,0.5827816205533597,5,6,24.444999999999993,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,PLR_ranger1,0.7452574525745257,0.5113389328063241,5,6,24.444999999999993,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,PLR_rangerE5,0.7311653116531165,0.5117341897233202,5,6,24.444999999999993,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,PLR_svmRadial3,0.6411924119241192,0.5696887351778656,5,6,24.444999999999993,184,1
Empirical,cmg_ZhuF-2020_schizo_seed3_featSize1,3,1,PLR_DCV-ridgeRegression,0.678590785907859,0.5497776679841897,5,6,24.444999999999993,184,1
