Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,feat_set
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR/PLR_glmnet4,0.7089552238805971,0.5350267379679144,53,581,98.99099999999999,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR/PLR_pls2,0.7062415196743556,0.5641711229946524,53,581,98.99099999999999,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR/PLR_ranger1,0.7645861601085482,0.6317513368983958,53,581,98.99099999999999,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR/PLR_rangerE5,0.7751017639077341,0.574331550802139,53,581,98.99099999999999,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR/PLR_svmRadial3,0.7510176390773405,0.5574866310160428,53,581,98.99099999999999,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR/PLR_DCV-ridgeRegression,0.7435549525101763,0.5767379679144384,53,581,98.99099999999999,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR/PLR_DCV-ridgeEnsemble,0.746268656716418,0.5661764705882353,53,581,98.99099999999999,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR/PLR_ALR/PLR_DCV,0.7435549525101763,0.5767379679144384,53,581,98.99099999999999,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR_glmnet4,0.7544097693351425,0.6183155080213903,53,52,64.34100000000001,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR_pls2,0.8032564450474898,0.6665775401069518,53,52,64.34100000000001,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR_ranger1,0.7747625508819539,0.6326203208556149,53,52,64.34100000000001,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR_rangerE5,0.8300542740841248,0.6142379679144385,53,52,64.34100000000001,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR_svmRadial3,0.7808683853459973,0.6414438502673797,53,52,64.34100000000001,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR_DCV-ridgeRegression,0.7991858887381276,0.6232620320855615,53,52,64.34100000000001,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR_DCV-ridgeEnsemble,0.816146540027137,0.6288770053475936,53,52,64.34100000000001,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,ALR_ALR_DCV,0.816146540027137,0.6288770053475936,53,52,64.34100000000001,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,PLR_glmnet4,0.7008141112618724,0.527139037433155,53,599,104.14099999999996,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,PLR_pls2,0.6709633649932157,0.5101604278074867,53,599,104.14099999999996,119,5
Empirical,qitta_NAFLD_16s_seed3_featSize2,3,1,PLR_ranger1,0.7289687924016282,0.5897058823529412,53,599,104.14099999999996,119,5
