Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,feat_set
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_glmnet4,0.7954156954156955,0.7484071484071484,23,121,81.53800000000001,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_pls2,0.7981740481740481,0.7462315462315463,23,121,81.53800000000001,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_ranger1,0.8368589743589744,0.7808080808080808,23,121,81.53800000000001,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_rangerE5,0.8326728826728826,0.7785936285936286,23,121,81.53800000000001,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_svmRadial3,0.8263597513597514,0.7706293706293705,23,121,81.53800000000001,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_DCV-ridgeRegression,0.7964840714840715,0.750971250971251,23,121,81.53800000000001,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_DCV-ridgeEnsemble,0.8284188034188034,0.7790986790986791,23,121,81.53800000000001,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_ALR/PLR_DCV,0.8284188034188034,0.7790986790986791,23,121,81.53800000000001,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_glmnet4,0.8017094017094017,0.7412198912198912,23,22,60.5,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_pls2,0.7879176379176379,0.7414141414141414,23,22,60.5,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_ranger1,0.8425699300699301,0.7889471639471639,23,22,60.5,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_rangerE5,0.8447163947163947,0.781041181041181,23,22,60.5,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_svmRadial3,0.8263403263403264,0.7697746697746698,23,22,60.5,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_DCV-ridgeRegression,0.7996114996114996,0.7471250971250971,23,22,60.5,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_DCV-ridgeEnsemble,0.8351787101787103,0.7837995337995338,23,22,60.5,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_ALR_DCV,0.8351787101787103,0.7837995337995338,23,22,60.5,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_glmnet4,0.8136557886557887,0.7675213675213675,23,125,84.59599999999995,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_pls2,0.8058080808080809,0.7643745143745144,23,125,84.59599999999995,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_ranger1,0.8424630924630925,0.7954933954933955,23,125,84.59599999999995,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_rangerE5,0.8327214452214452,0.7945998445998446,23,125,84.59599999999995,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_svmRadial3,0.8328865578865579,0.7808080808080808,23,125,84.59599999999995,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_DCV-ridgeRegression,0.8081390831390831,0.7726884226884227,23,125,84.59599999999995,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_DCV-ridgeEnsemble,0.8364607614607614,0.790947940947941,23,125,84.59599999999995,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_PLR_DCV,0.8364607614607614,0.790947940947941,23,125,84.59599999999995,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_glmnet4,0.7852369852369853,0.79996114996115,23,106,77.125,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_pls2,0.7730186480186481,0.7918414918414918,23,106,77.125,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_ranger1,0.8364219114219115,0.8287101787101787,23,106,77.125,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_rangerE5,0.8307206682206683,0.8236596736596736,23,106,77.125,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_svmRadial3,0.8096542346542347,0.8198523698523699,23,106,77.125,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_DCV-ridgeRegression,0.7856837606837607,0.7989898989898989,23,106,77.125,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_DCV-ridgeEnsemble,0.8193667443667444,0.8216006216006216,23,106,77.125,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_ALR/PLR_DCV,0.8193667443667444,0.8216006216006216,23,106,77.125,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_glmnet4,0.786052836052836,0.7998834498834498,23,22,60.303999999999974,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_pls2,0.7853146853146853,0.7871017871017871,23,22,60.303999999999974,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_ranger1,0.8339063714063714,0.8128399378399378,23,22,60.303999999999974,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_rangerE5,0.8380924630924631,0.8263014763014763,23,22,60.303999999999974,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_svmRadial3,0.81006216006216,0.816006216006216,23,22,60.303999999999974,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_DCV-ridgeRegression,0.7840909090909091,0.7994560994560994,23,22,60.303999999999974,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_DCV-ridgeEnsemble,0.8232711732711733,0.8201631701631702,23,22,60.303999999999974,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_ALR_DCV,0.8232711732711733,0.8201631701631702,23,22,60.303999999999974,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,PLR_glmnet4,0.7979020979020979,0.8026418026418027,23,123,83.25,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,PLR_pls2,0.7812160062160062,0.7917249417249417,23,123,83.25,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,PLR_ranger1,0.8279914529914529,0.8261266511266512,23,123,83.25,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,PLR_rangerE5,0.8429972804972805,0.8194444444444444,23,123,83.25,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,PLR_svmRadial3,0.8203185703185704,0.821950271950272,23,123,83.25,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,PLR_DCV-ridgeRegression,0.7946775446775447,0.8020979020979021,23,123,83.25,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,PLR_DCV-ridgeEnsemble,0.8269619269619269,0.8221445221445222,23,123,83.25,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,PLR_PLR_DCV,0.8269619269619269,0.8221445221445222,23,123,83.25,48,5
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_glmnet4,0.7988539238539238,0.7499222999222999,27,164,90.6869999999999,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_pls2,0.8043512043512043,0.7543123543123543,27,164,90.6869999999999,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_ranger1,0.8357614607614607,0.7833916083916084,27,164,90.6869999999999,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_rangerE5,0.8318570318570319,0.7803807303807304,27,164,90.6869999999999,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_svmRadial3,0.8264180264180264,0.7774669774669775,27,164,90.6869999999999,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_DCV-ridgeRegression,0.7992618492618493,0.7588578088578088,27,164,90.6869999999999,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_DCV-ridgeEnsemble,0.8295260295260295,0.7814296814296815,27,164,90.6869999999999,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR/PLR_ALR/PLR_DCV,0.8295260295260295,0.7814296814296815,27,164,90.6869999999999,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_glmnet4,0.7957847707847708,0.7506993006993008,27,26,61.89800000000014,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_pls2,0.7782634032634033,0.7460372960372961,27,26,61.89800000000014,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_ranger1,0.8386655011655012,0.7885392385392386,27,26,61.89800000000014,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_rangerE5,0.8481060606060606,0.7950854700854701,27,26,61.89800000000014,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_svmRadial3,0.8246114996114996,0.7837606837606838,27,26,61.89800000000014,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_DCV-ridgeRegression,0.7940947940947941,0.752020202020202,27,26,61.89800000000014,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_DCV-ridgeEnsemble,0.8337801087801088,0.7888111888111888,27,26,61.89800000000014,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,ALR_ALR_DCV,0.8337801087801088,0.7888111888111888,27,26,61.89800000000014,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_glmnet4,0.8098679098679099,0.7725330225330225,27,174,93.01199999999994,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_pls2,0.8072066822066822,0.7660839160839161,27,174,93.01199999999994,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_ranger1,0.8429195804195804,0.7937451437451437,27,174,93.01199999999994,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_rangerE5,0.8421134421134421,0.7945609945609946,27,174,93.01199999999994,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_svmRadial3,0.8301864801864802,0.7823232323232323,27,174,93.01199999999994,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_DCV-ridgeRegression,0.8049145299145299,0.7728049728049728,27,174,93.01199999999994,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_DCV-ridgeEnsemble,0.8378205128205128,0.7956099456099457,27,174,93.01199999999994,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,1,PLR_PLR_DCV,0.8378205128205128,0.7956099456099457,27,174,93.01199999999994,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_glmnet4,0.7868686868686868,0.7904817404817405,27,146,84.49000000000001,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_pls2,0.7816627816627817,0.7886946386946387,27,146,84.49000000000001,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_ranger1,0.8420648795648795,0.8203185703185704,27,146,84.49000000000001,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_rangerE5,0.8368492618492619,0.8265151515151515,27,146,84.49000000000001,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_svmRadial3,0.8225330225330225,0.8123154623154623,27,146,84.49000000000001,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_DCV-ridgeRegression,0.7893745143745143,0.7952214452214452,27,146,84.49000000000001,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_DCV-ridgeEnsemble,0.8275835275835276,0.8204351204351205,27,146,84.49000000000001,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR/PLR_ALR/PLR_DCV,0.8275835275835276,0.8204351204351205,27,146,84.49000000000001,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_glmnet4,0.7925602175602176,0.7951825951825953,27,26,60.110999999999876,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_pls2,0.7933954933954934,0.7832944832944833,27,26,60.110999999999876,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_ranger1,0.8449494949494949,0.811965811965812,27,26,60.110999999999876,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_rangerE5,0.8473387723387723,0.8234459984459985,27,26,60.110999999999876,48,6
Empirical,selbal_Crohns_16s_seed1_featSize2,1,2,ALR_svmRadial3,0.8217948717948718,0.8191142191142191,27,26,60.110999999999876,48,6
