Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,feat_set
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_glmnet4,0.7120535714285714,0.5881696428571428,28,146,34.364000000000004,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_pls2,0.7388392857142857,0.5911458333333333,28,146,34.364000000000004,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_ranger1,0.7522321428571429,0.5643601190476191,28,146,34.364000000000004,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_rangerE5,0.7801339285714286,0.5591517857142857,28,146,34.364000000000004,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_svmRadial3,0.7868303571428571,0.6082589285714286,28,146,34.364000000000004,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_DCV-ridgeRegression,0.7511160714285714,0.5569196428571428,28,146,34.364000000000004,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_DCV-ridgeEnsemble,0.7667410714285714,0.5037202380952381,28,146,34.364000000000004,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_ALR/PLR_DCV,0.7511160714285714,0.5569196428571428,28,146,34.364000000000004,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_glmnet4,0.7265625,0.6108630952380951,28,27,28.808999999999997,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_pls2,0.6607142857142857,0.6034226190476191,28,27,28.808999999999997,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_ranger1,0.6802455357142857,0.5299479166666666,28,27,28.808999999999997,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_rangerE5,0.71875,0.5580357142857143,28,27,28.808999999999997,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_svmRadial3,0.7868303571428571,0.6510416666666666,28,27,28.808999999999997,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_DCV-ridgeRegression,0.734375,0.5241815476190477,28,27,28.808999999999997,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_DCV-ridgeEnsemble,0.7421875,0.4334077380952381,28,27,28.808999999999997,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_ALR_DCV,0.734375,0.5241815476190477,28,27,28.808999999999997,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,PLR_glmnet4,0.7332589285714286,0.5796130952380952,28,154,35.97300000000001,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,PLR_pls2,0.7220982142857143,0.5197172619047619,28,154,35.97300000000001,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,PLR_ranger1,0.7505580357142857,0.49460565476190477,28,154,35.97300000000001,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,PLR_rangerE5,0.7594866071428572,0.5554315476190476,28,154,35.97300000000001,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,PLR_svmRadial3,0.765625,0.6257440476190477,28,154,35.97300000000001,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,PLR_DCV-ridgeRegression,0.7522321428571429,0.5357142857142857,28,154,35.97300000000001,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,PLR_DCV-ridgeEnsemble,0.7466517857142857,0.49962797619047616,28,154,35.97300000000001,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,PLR_PLR_DCV,0.7522321428571429,0.5357142857142857,28,154,35.97300000000001,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR/PLR_glmnet4,0.625,0.7633928571428571,28,159,35.39699999999999,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR/PLR_pls2,0.5793269230769231,0.7566964285714286,28,159,35.39699999999999,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR/PLR_ranger1,0.6370192307692308,0.7455357142857142,28,159,35.39699999999999,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR/PLR_rangerE5,0.6646634615384616,0.7254464285714286,28,159,35.39699999999999,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR/PLR_svmRadial3,0.545673076923077,0.7700892857142857,28,159,35.39699999999999,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR/PLR_DCV-ridgeRegression,0.6394230769230769,0.7700892857142857,28,159,35.39699999999999,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR/PLR_DCV-ridgeEnsemble,0.6346153846153846,0.7879464285714285,28,159,35.39699999999999,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR/PLR_ALR/PLR_DCV,0.6346153846153846,0.7879464285714285,28,159,35.39699999999999,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR_glmnet4,0.6382211538461539,0.7522321428571428,28,27,28.56899999999996,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR_pls2,0.6189903846153846,0.7879464285714286,28,27,28.56899999999996,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR_ranger1,0.6141826923076923,0.7377232142857142,28,27,28.56899999999996,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR_rangerE5,0.6508413461538461,0.7667410714285714,28,27,28.56899999999996,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR_svmRadial3,0.639423076923077,0.7544642857142856,28,27,28.56899999999996,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR_DCV-ridgeRegression,0.6538461538461539,0.7700892857142856,28,27,28.56899999999996,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR_DCV-ridgeEnsemble,0.6478365384615384,0.765625,28,27,28.56899999999996,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,ALR_ALR_DCV,0.6538461538461539,0.7700892857142856,28,27,28.56899999999996,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,PLR_glmnet4,0.6514423076923077,0.703125,28,160,35.33899999999994,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,PLR_pls2,0.592548076923077,0.6741071428571428,28,160,35.33899999999994,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,PLR_ranger1,0.6550480769230769,0.7466517857142857,28,160,35.33899999999994,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,PLR_rangerE5,0.6502403846153846,0.7700892857142857,28,160,35.33899999999994,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,PLR_svmRadial3,0.5637019230769231,0.734375,28,160,35.33899999999994,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,PLR_DCV-ridgeRegression,0.6502403846153846,0.7633928571428571,28,160,35.33899999999994,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,PLR_DCV-ridgeEnsemble,0.6514423076923077,0.7633928571428572,28,160,35.33899999999994,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,2,PLR_PLR_DCV,0.6514423076923077,0.7633928571428572,28,160,35.33899999999994,60,5
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_glmnet4,0.6618303571428572,0.5643601190476191,34,221,37.5920000000001,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_pls2,0.7209821428571428,0.5904017857142857,34,221,37.5920000000001,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_ranger1,0.7578125,0.5474330357142857,34,221,37.5920000000001,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_rangerE5,0.7756696428571428,0.5777529761904762,34,221,37.5920000000001,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_svmRadial3,0.7935267857142857,0.5703125,34,221,37.5920000000001,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_DCV-ridgeRegression,0.7578125,0.5528273809523809,34,221,37.5920000000001,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_DCV-ridgeEnsemble,0.7444196428571428,0.4895833333333333,34,221,37.5920000000001,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR/PLR_ALR/PLR_DCV,0.7578125,0.5528273809523809,34,221,37.5920000000001,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_glmnet4,0.7388392857142857,0.5997023809523809,34,33,28.714000000000055,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_pls2,0.6796875,0.6108630952380952,34,33,28.714000000000055,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_ranger1,0.6796875,0.5641741071428572,34,33,28.714000000000055,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_rangerE5,0.7287946428571429,0.46670386904761907,34,33,28.714000000000055,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_svmRadial3,0.7544642857142857,0.6194196428571428,34,33,28.714000000000055,60,6
Empirical,selbal_HIV_16s_seed2_featSize2,2,1,ALR_DCV-ridgeRegression,0.7477678571428572,0.5182291666666667,34,33,28.714000000000055,60,6
