Scenario,Dataset,Seed,Fold,Approach,AUC,train_auc,number_parts,number_ratios,comp_time,base_dims,feat_set
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR/PLR_glmnet4,0.8270833333333334,0.8411151960784313,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR/PLR_pls2,0.8239583333333333,0.8352328431372549,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR/PLR_ranger1,0.8125,0.8060661764705883,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR/PLR_rangerE5,0.8161458333333333,0.8332720588235294,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR/PLR_svmRadial3,0.8239583333333333,0.8591299019607843,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR/PLR_DCV-ridgeRegression,0.83125,0.8450367647058823,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR/PLR_DCV-ridgeEnsemble,0.825,0.8429534313725491,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR/PLR_DCV,0.6328125,0.7645089285714285,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR_glmnet4,0.8364583333333333,0.8451593137254902,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR_pls2,0.84375,0.8530024509803922,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR_ranger1,0.8395833333333333,0.8419730392156862,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR_rangerE5,0.828125,0.8427083333333333,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR_svmRadial3,0.8208333333333333,0.876531862745098,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR_DCV-ridgeRegression,0.8375,0.8489583333333334,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR_DCV-ridgeEnsemble,0.8416666666666667,0.8759191176470589,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,ALR_DCV,0.6328125,0.7645089285714285,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,PLR_glmnet4,0.7531249999999999,0.7870710784313726,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,PLR_pls2,0.7531249999999999,0.7809436274509804,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,PLR_ranger1,0.7901041666666666,0.8685049019607843,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,PLR_rangerE5,0.7666666666666666,0.8675857843137256,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,PLR_svmRadial3,0.8635416666666667,0.8178308823529412,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,PLR_DCV-ridgeRegression,0.7510416666666666,0.7808210784313725,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,PLR_DCV-ridgeEnsemble,0.7666666666666666,0.8553308823529412,5,4,19.230000000000018,227,1
Empirical,cmg_WirbelJ-2018_crc_seed2,2,2,PLR_DCV,0.6328125,0.7645089285714285,5,4,19.230000000000018,227,1
